,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/伤逝__chunk003,杨戴/伤逝__chunk004,杨戴/伤逝__chunk005,杨戴/伤逝__chunk006,杨戴/伤逝__chunk007,杨戴/在酒楼上__chunk001,杨戴/在酒楼上__chunk002,杨戴/在酒楼上__chunk003,杨戴/在酒楼上__chunk004,杨戴/在酒楼上__chunk005,杨戴/奔月__chunk001,杨戴/奔月__chunk002,杨戴/奔月__chunk003,杨戴/奔月__chunk004,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/孤独者__chunk003,杨戴/孤独者__chunk004,杨戴/孤独者__chunk005,杨戴/孤独者__chunk006,杨戴/孤独者__chunk007,杨戴/孤独者__chunk008,杨戴/幸福的家庭__chunk001,杨戴/幸福的家庭__chunk002,杨戴/幸福的家庭__chunk003,杨戴/故乡__chunk001,杨戴/故乡__chunk002,杨戴/故乡__chunk003,杨戴/故乡__chunk004,杨戴/明天__chunk001,杨戴/明天__chunk002,杨戴/明天__chunk003,杨戴/狂人日记__chunk001,杨戴/狂人日记__chunk002,杨戴/狂人日记__chunk003,杨戴/狂人日记__chunk004,杨戴/社戏__chunk001,杨戴/社戏__chunk002,杨戴/社戏__chunk003,杨戴/社戏__chunk004,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/祝福__chunk003,杨戴/祝福__chunk004,杨戴/祝福__chunk005,杨戴/祝福__chunk006,杨戴/祝福__chunk007,杨戴/离婚__chunk001,杨戴/离婚__chunk002,杨戴/离婚__chunk003,杨戴/肥皂__chunk001,杨戴/肥皂__chunk002,杨戴/肥皂__chunk003,杨戴/肥皂__chunk004,杨戴/药__chunk001,杨戴/药__chunk002,杨戴/药__chunk003,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/铸剑__chunk003,杨戴/铸剑__chunk004,杨戴/铸剑__chunk005,杨戴/铸剑__chunk006,杨戴/铸剑__chunk007,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/阿Q正传__chunk005,杨戴/阿Q正传__chunk006,杨戴/阿Q正传__chunk007,杨戴/阿Q正传__chunk008,杨戴/阿Q正传__chunk009,杨戴/阿Q正传__chunk010,杨戴/阿Q正传__chunk011,杨戴/阿Q正传__chunk012,杨戴/阿Q正传__chunk013,杨戴/阿Q正传__chunk014,杨戴/阿Q正传__chunk015,杨戴/阿Q正传__chunk016,杨戴/阿Q正传__chunk017,杨戴/风波__chunk001,杨戴/风波__chunk002,杨戴/风波__chunk003,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/伤逝__chunk003,蓝/伤逝__chunk004,蓝/伤逝__chunk005,蓝/伤逝__chunk006,蓝/伤逝__chunk007,蓝/在酒楼上__chunk001,蓝/在酒楼上__chunk002,蓝/在酒楼上__chunk003,蓝/在酒楼上__chunk004,蓝/奔月__chunk001,蓝/奔月__chunk002,蓝/奔月__chunk003,蓝/奔月__chunk004,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/孤独者__chunk003,蓝/孤独者__chunk004,蓝/孤独者__chunk005,蓝/孤独者__chunk006,蓝/孤独者__chunk007,蓝/孤独者__chunk008,蓝/幸福的家庭__chunk001,蓝/幸福的家庭__chunk002,蓝/幸福的家庭__chunk003,蓝/故乡__chunk001,蓝/故乡__chunk002,蓝/故乡__chunk003,蓝/明天__chunk001,蓝/明天__chunk002,蓝/狂人日记__chunk001,蓝/狂人日记__chunk002,蓝/狂人日记__chunk003,蓝/社戏__chunk001,蓝/社戏__chunk002,蓝/社戏__chunk003,蓝/社戏__chunk004,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/祝福__chunk003,蓝/祝福__chunk004,蓝/祝福__chunk005,蓝/祝福__chunk006,蓝/祝福__chunk007,蓝/离婚__chunk001,蓝/离婚__chunk002,蓝/离婚__chunk003,蓝/肥皂__chunk001,蓝/肥皂__chunk002,蓝/肥皂__chunk003,蓝/肥皂__chunk004,蓝/药__chunk001,蓝/药__chunk002,蓝/药__chunk003,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/铸剑__chunk003,蓝/铸剑__chunk004,蓝/铸剑__chunk005,蓝/铸剑__chunk006,蓝/铸剑__chunk007,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/阿Q正传__chunk005,蓝/阿Q正传__chunk006,蓝/阿Q正传__chunk007,蓝/阿Q正传__chunk008,蓝/阿Q正传__chunk009,蓝/阿Q正传__chunk010,蓝/阿Q正传__chunk011,蓝/阿Q正传__chunk012,蓝/阿Q正传__chunk013,蓝/阿Q正传__chunk014,蓝/阿Q正传__chunk015,蓝/阿Q正传__chunk016,蓝/阿Q正传__chunk017,蓝/风波__chunk001,蓝/风波__chunk002,蓝/风波__chunk003
杨戴/伤逝__chunk001,0.000000,0.913815,0.997717,1.106563,0.933802,0.926219,0.914350,1.067735,1.061808,1.083872,1.029258,1.086311,1.016179,1.062683,1.091825,1.140706,0.959136,0.979485,0.993023,1.088064,1.061093,1.288519,1.090602,1.151117,1.379632,1.212288,1.117472,1.005467,1.010019,1.312099,1.185693,0.961183,1.068779,1.240171,1.069108,1.309190,1.301896,1.227880,1.099955,0.959007,1.046094,1.072663,0.952264,1.024784,1.025065,1.098996,1.098782,1.163383,1.011159,1.063563,0.998888,0.887814,0.990528,1.136208,1.102044,0.924152,1.135525,1.106380,0.961374,1.172350,0.991516,1.113218,1.132510,1.118744,1.069728,1.174514,1.236902,1.126160,1.060597,1.137508,1.092746,1.076151,1.146169,1.288370,1.108270,1.035046,1.362951,1.024661,1.091846,1.228295,1.264571,1.168478,1.262308,0.952202,1.151466,1.016923,0.781798,0.934438,0.983690,1.010474,0.979511,1.001997,0.975378,0.988032,0.955485,1.219300,1.145837,1.034650,0.970177,1.083576,1.291961,1.060271,1.018090,0.997185,1.085416,1.019622,1.189665,0.881784,1.263342,1.200510,1.073528,1.346329,0.918951,1.129145,1.069098,1.043910,1.148961,1.099417,1.182536,1.086017,0.939616,1.022230,1.137726,1.146194,0.962560,1.000318,0.946216,1.099473,1.286996,1.093296,1.092078,1.066676,1.110055,1.000739,1.010521,1.074861,1.248490,1.091988,1.137424,1.208260,0.996216,1.266891,1.055070,1.139523,1.032521,1.139318,1.125935,1.095363,1.098807,1.072091,1.163824,1.135496,1.272667,0.987490,1.225074,1.128120,1.088444,1.104731,1.109279,1.079018,1.148669,1.080436,1.164459,1.193898,1.268580,0.905768,1.101021,1.134717
杨戴/伤逝__chunk002,0.913815,0.000000,0.817035,0.891913,0.882432,0.824077,0.889106,1.031322,0.824458,0.958725,0.831560,1.048864,1.050714,1.106558,1.138223,1.211088,0.999838,0.986918,1.114810,0.946283,0.909639,1.245196,1.073832,1.182027,1.299211,1.272780,1.195879,1.008354,1.098873,1.298227,1.056233,1.005035,1.044149,1.002871,1.126396,1.193225,1.279020,1.276247,0.942205,0.983132,1.051324,0.974545,1.088626,1.043328,0.981428,1.028238,1.045552,1.175968,0.998802,1.253935,0.941576,0.904400,1.029440,1.051067,1.049402,0.950493,1.150491,1.092976,1.049250,1.169700,1.113630,1.102418,1.185617,1.161058,1.203723,1.181322,1.246074,1.265846,1.174444,1.099969,1.104218,1.182324,1.184581,1.119590,1.165415,1.230914,1.302487,1.056019,1.111790,1.162955,1.178101,1.232478,1.164675,1.014114,1.214789,1.182839,1.097204,0.814618,0.980877,1.025404,0.965062,1.034592,1.195038,1.150461,0.898366,0.976436,0.990500,1.097224,1.198074,1.266852,1.265950,1.222345,1.168724,1.081905,1.143625,1.171472,1.177534,1.137186,1.266063,1.286497,1.216181,1.508689,1.068177,1.159392,1.173133,1.068785,1.194096,1.149111,1.215399,1.216509,1.082762,1.160109,1.185823,1.244069,1.222896,0.941397,1.053938,1.140258,1.197291,1.108019,1.258267,1.294440,1.173703,1.189222,1.133849,1.160377,1.299432,1.204325,1.447610,1.272962,1.195570,1.310053,1.137392,1.210945,1.209884,1.231884,1.381096,1.201246,1.192674,1.131830,1.406234,1.193158,1.419693,1.158868,1.308903,1.320459,1.187028,1.178461,1.219286,1.096830,1.271572,1.252286,1.252807,1.276330,1.316254,1.109811,1.221760,1.333269
杨戴/伤逝__chunk003,0.997717,0.817035,0.000000,0.933346,0.929539,0.858861,0.939243,1.082461,0.823351,0.924612,0.776862,1.159393,0.964995,1.063845,1.045465,1.205207,1.044460,0.969379,0.946062,0.907782,0.905802,1.232737,0.982201,1.190714,1.343513,1.137176,1.093824,0.957869,0.980549,1.102095,1.078894,0.972811,1.104020,1.114797,1.175758,1.313412,1.270581,1.351838,0.918086,0.978422,1.013639,0.947613,0.983078,0.971473,0.935783,0.992617,0.951060,1.123687,0.997000,1.174047,0.985210,0.961693,0.886557,1.151851,1.027412,0.870234,1.081487,0.968145,1.005912,1.034459,1.066219,1.180902,1.180772,1.110507,1.245850,1.178680,1.156849,1.168027,1.142759,1.218987,1.089931,1.122656,1.082841,1.228661,1.054088,1.030717,1.207493,1.146947,0.995727,1.104193,1.203416,1.134284,1.243467,0.949572,1.196922,0.903258,0.973298,0.871162,0.835012,1.043383,0.931778,0.891430,1.112552,1.065994,0.825050,1.047725,0.990396,1.041917,1.100063,1.051423,1.216109,1.051358,1.010886,0.972975,1.051913,0.959398,1.024391,1.030062,1.106199,1.198295,1.048311,1.314313,0.957300,1.038032,1.025443,0.953567,1.027026,1.168089,1.134968,1.183609,0.974942,1.008584,1.058755,1.090186,1.004706,0.895408,0.927467,1.038584,1.061712,1.191318,1.082468,1.192482,1.094125,1.046663,0.964637,1.105530,1.125365,1.173705,1.306268,1.172213,1.093311,1.134538,1.030683,1.103362,1.125268,1.069527,1.255631,1.254977,1.136927,1.107073,1.259633,1.116893,1.136487,1.121906,1.159416,1.255823,1.014984,1.116354,1.111145,1.057771,1.101828,1.184754,1.152529,1.139219,1.296671,0.960568,1.145440,1.194042
杨戴/伤逝__chunk004,1.106563,0.891913,0.933346,0.000000,0.934814,0.876556,0.909849,1.004107,0.898905,0.866816,0.891772,1.133561,1.182267,1.078046,1.159694,1.228256,1.070272,0.938385,1.100771,0.948939,0.865556,1.126505,0.939013,1.071920,1.392272,1.257822,1.186543,0.950048,0.952696,1.056513,1.041373,1.084119,1.000529,1.132339,1.276465,1.287284,1.185161,1.220821,1.011632,0.798229,1.046147,1.098711,1.088033,1.011194,0.962887,1.122766,1.048889,1.118751,1.026685,1.208709,1.036673,0.930548,0.976866,0.990635,1.074247,0.957689,1.259206,1.170869,1.069999,1.016410,1.088615,1.216050,1.221062,1.214531,1.307314,1.128265,1.204699,1.150883,1.179143,1.092656,1.085095,1.190695,1.154404,1.163717,1.056450,1.057226,1.142359,1.174015,1.060263,1.089047,1.127792,1.157962,1.120151,1.060567,1.085428,1.086355,1.143328,1.006079,0.999651,0.840665,1.060518,1.037608,1.090197,1.185601,0.930286,1.096058,1.090095,1.075660,1.146228,1.106661,1.340998,1.115929,1.195112,1.056803,1.049702,0.990504,1.059850,1.139342,1.139520,1.269842,1.201449,1.430400,0.986779,1.146373,1.005322,1.088680,1.122617,1.272329,1.224837,1.085414,1.100141,1.004655,1.151030,1.260772,1.148789,0.962105,1.142553,1.162010,1.204756,1.224053,1.295842,1.247606,1.206211,1.158205,1.136736,1.110956,1.169093,1.233252,1.418492,1.265253,1.242109,1.184252,1.152037,1.181703,1.183121,1.274483,1.404536,1.096272,1.218046,1.167374,1.410816,1.149284,1.346340,1.179984,1.267544,1.227311,1.140981,1.107151,1.070648,1.209642,1.014970,1.147696,1.158494,1.174240,1.272058,1.093478,1.202898,1.339022
杨戴/伤逝__chunk005,0.933802,0.882432,0.929539,0.934814,0.000000,0.669320,0.772607,0.999838,0.964293,0.954689,0.935279,1.203343,1.077615,0.965539,1.079625,1.108693,1.018869,0.981474,1.000007,1.046488,0.824263,1.102081,0.965467,1.192897,1.366008,1.196289,1.190662,0.996408,0.994233,1.194067,1.134541,0.942729,1.090464,1.144729,1.125887,1.159941,1.305147,1.267573,0.856775,0.771699,0.966039,1.181599,1.009099,0.992022,0.949665,1.061321,1.017658,1.012526,1.045687,1.163781,1.024632,0.915371,1.044045,0.977220,1.127801,0.993799,1.233621,1.064661,1.084793,1.141851,1.132881,1.093566,1.120496,1.139986,1.191425,1.245587,1.218187,0.994190,1.122319,1.229541,1.192669,1.171812,1.095334,1.119078,1.114598,1.102082,1.223661,1.066706,1.142255,1.133062,1.186739,1.106125,1.218996,1.016250,1.079449,1.094993,0.957690,0.973065,0.968147,0.785743,0.871566,1.021456,1.037917,1.050673,1.028094,1.040233,1.063898,1.050623,1.024768,1.165611,1.255914,1.157666,1.094628,0.965598,1.063383,0.860662,1.040409,1.013473,1.214425,1.190082,1.162887,1.368489,1.007221,1.267681,1.146361,0.996195,1.223143,1.118643,1.156232,1.159940,0.921723,0.889052,1.115679,1.237845,1.052044,0.987470,1.054433,1.122030,1.187371,1.198442,1.223025,1.179878,1.227503,1.086068,1.098137,0.965767,1.216993,1.190952,1.369674,1.305599,1.209006,1.216680,1.107495,1.143856,1.110900,1.103872,1.367634,1.289375,1.212770,1.125465,1.306375,1.172816,1.248569,1.206898,1.228781,1.190242,1.107299,1.114179,1.111913,1.212160,1.136354,1.096164,1.151003,1.194277,1.174104,1.017146,1.116171,1.205186
杨戴/伤逝__chunk006,0.926219,0.824077,0.858861,0.876556,0.669320,0.000000,0.752961,0.949434,0.800492,0.853124,0.857641,1.029803,0.949852,0.879883,0.930271,1.046499,0.967053,0.847347,0.884407,0.920836,0.823266,1.048460,0.881139,1.116697,1.290180,1.203529,1.076822,0.924257,0.876597,1.049884,0.899706,0.965736,1.032981,1.052842,1.115602,1.108459,1.200252,1.257847,0.814279,0.886486,0.950959,0.965433,0.888956,1.022882,0.841328,1.027356,0.989180,1.197915,0.974256,1.083064,0.920088,0.775603,0.893649,0.903899,0.895250,0.940027,1.167075,0.983928,0.930898,0.941652,0.978234,1.057019,1.057902,1.027417,1.165296,1.107882,1.147717,1.117047,1.155695,1.118645,1.008420,1.085204,0.977814,1.157605,1.007975,1.043205,1.145336,0.983429,1.030965,1.107447,1.123183,1.116893,1.074243,0.877145,1.029855,0.901492,0.885168,0.853602,0.901670,0.787667,0.743903,0.835802,0.966004,1.032837,0.833907,0.935823,0.923053,0.962676,0.902235,0.986985,1.139726,1.074915,1.037157,0.975271,0.946644,0.929874,0.810236,0.990723,1.095584,1.123897,1.036040,1.285647,0.884586,1.060996,0.954649,0.997310,1.062988,1.030046,1.107031,1.084655,0.874762,0.972450,1.015210,1.077282,0.937601,0.860843,0.982330,0.984101,1.134913,1.237305,1.142509,1.090854,1.030435,1.031020,0.991761,0.838570,1.033374,1.067782,1.333280,1.064778,1.061011,1.060899,1.004683,1.053219,0.976613,1.045157,1.304703,1.120546,1.116924,1.123921,1.231044,1.113876,1.136788,1.140711,1.142299,1.116376,1.059506,1.086370,1.057888,0.959370,1.127655,1.071877,1.127755,1.063455,1.138698,0.861283,1.009303,1.121660
杨戴/伤逝__chunk007,0.914350,0.889106,0.939243,0.909849,0.772607,0.752961,0.000000,0.933499,0.895220,0.923887,0.873964,1.040291,0.978071,0.905858,1.050450,1.047819,1.057083,0.964258,1.008369,0.895815,0.786878,1.093568,0.944266,1.081840,1.348889,1.186046,1.131660,0.967964,0.900362,1.014347,1.075488,0.934375,1.084860,1.161804,1.076329,1.121808,1.222204,1.176282,0.860477,0.926104,1.010365,1.030898,0.888338,0.868218,0.924059,0.957686,0.886848,1.037297,1.036637,1.152969,0.858593,0.957108,0.971531,0.939249,1.100946,0.899896,1.132004,1.084874,0.974927,1.086755,1.020381,1.082274,1.155197,1.133223,1.192975,1.176355,1.123281,1.182879,1.177593,1.230348,1.115185,1.061348,1.073013,1.064401,1.017017,1.106803,1.189233,1.137048,1.061516,1.187336,1.082684,1.262704,1.153528,0.980407,1.122804,0.955014,0.893715,0.971743,0.740192,0.819592,0.840589,0.783904,0.810948,1.020136,0.880763,0.965814,0.972959,0.939672,0.986515,1.012571,1.113021,1.124855,1.071599,0.951654,0.980100,0.898301,0.922056,0.946862,1.091244,1.248113,1.152960,1.293353,0.890711,1.033887,1.067600,1.053632,1.026540,1.010748,1.032611,1.046337,0.991116,1.066478,1.061093,1.126781,0.996098,0.870798,1.056959,1.127014,0.985954,1.101177,1.073655,1.186227,1.136468,1.001832,1.075544,0.967063,1.197684,1.084493,1.271370,1.126481,1.096690,1.108759,1.093930,1.125462,1.118118,1.098252,1.277522,1.254787,1.072989,1.132743,1.311261,1.171372,1.266017,1.044877,1.152696,1.177671,1.185411,1.148421,1.102900,1.184131,1.113071,1.181695,1.190766,1.088291,1.190061,1.001060,1.182171,1.125464
杨戴/在酒楼上__chunk001,1.067735,1.031322,1.082461,1.004107,0.999838,0.949434,0.933499,0.000000,1.013278,1.085088,0.997668,1.234950,0.971050,1.067824,0.985813,0.996598,0.977167,1.065103,1.094957,1.040434,0.890732,1.144766,1.004971,1.119302,1.376187,1.216372,1.185649,0.962885,1.193152,1.219788,1.122122,0.871267,0.963570,1.208846,1.185927,1.268773,1.313495,1.233561,0.900004,1.023939,0.993724,1.101637,0.933706,1.042593,0.954858,1.212751,1.084546,1.114180,1.170937,1.285738,1.038175,1.041263,1.192360,1.133134,1.216879,1.087721,1.063436,1.049024,0.980457,1.028479,1.005048,1.087905,1.111688,1.093654,0.997247,1.015273,1.176681,1.213065,1.242763,1.083783,1.121737,1.094977,0.995031,1.151467,0.982528,0.957493,1.268167,1.094794,1.069787,1.072807,1.133194,1.050103,0.999432,0.984128,1.089464,1.065480,1.075924,1.177758,1.120843,1.049373,1.015442,1.020172,1.075712,0.853703,0.990467,1.260985,1.246606,0.989841,1.189275,1.086499,1.155670,1.111624,1.173871,1.131101,1.102437,1.153836,1.102014,0.980985,1.112412,1.237576,1.162186,1.390638,0.954861,1.314074,1.206558,0.957642,1.153747,1.200985,1.227016,1.324359,0.904930,1.129990,1.053583,1.145126,1.057279,1.087266,1.122550,1.216401,1.228203,1.310092,1.348614,1.215674,1.284080,1.204130,1.214812,1.160017,1.264131,1.155703,1.207634,1.275799,1.120207,1.093853,1.080791,1.102662,1.050019,1.030013,1.165012,1.141750,1.082166,1.107244,1.315009,1.142834,1.276348,1.119493,1.049171,1.109992,1.057907,1.061944,1.071523,1.161676,1.020755,1.115069,1.012801,1.187819,1.173233,0.982343,1.205323,1.117698
杨戴/在酒楼上__chunk002,1.061808,0.824458,0.823351,0.898905,0.964293,0.800492,0.895220,1.013278,0.000000,0.721736,0.846882,0.956820,0.961552,0.970960,0.876671,0.935519,0.959151,0.869105,0.890467,0.825740,0.788580,1.066650,0.899201,1.043949,1.171165,1.100451,1.045930,0.796312,0.916951,1.065939,0.900285,0.927429,0.959776,1.118703,0.985823,1.051446,1.020115,1.166774,0.821451,0.878277,1.013028,0.954209,0.877077,1.003183,0.922899,0.949230,0.854065,1.151699,1.001745,1.105504,0.840931,0.877090,0.889827,0.966177,0.918010,0.934784,1.032682,0.966794,0.928385,0.943314,0.947372,1.014818,0.989747,1.021103,1.132154,1.118282,1.099231,1.089501,1.152483,1.053970,1.018821,1.080695,0.926828,1.027876,1.018376,0.982714,1.133416,0.937371,0.871724,1.042278,1.020228,1.101177,0.990866,0.900065,0.975914,0.923739,0.950166,0.866957,0.878687,0.946094,0.801549,0.885243,0.979766,1.026067,0.652827,0.974264,1.003404,0.897051,0.867496,0.973376,1.009627,0.949228,1.022576,0.982950,0.868973,1.014015,0.889783,0.918109,1.024118,1.095112,0.998202,1.331384,0.775437,1.068907,0.998534,0.899390,1.047267,0.891625,1.079185,0.974091,0.982001,0.997491,1.037078,1.058401,0.969739,0.896074,1.034979,1.002291,1.019774,1.098171,1.207387,1.065469,1.045752,1.001330,0.955699,0.922109,1.124563,1.072078,1.186939,1.087886,1.074874,0.998449,0.903030,1.006468,0.974127,1.011647,1.213041,1.161458,1.063552,1.038019,1.256151,1.086900,1.114454,1.068171,1.168774,1.073304,1.032968,0.955949,1.049750,0.985200,1.050405,1.054514,1.038853,1.058900,1.117577,1.011010,0.945199,0.982220
杨戴/在酒楼上__chunk003,1.083872,0.958725,0.924612,0.866816,0.954689,0.853124,0.923887,1.085088,0.721736,0.000000,0.841656,1.035233,1.104084,0.995622,1.098817,1.138754,1.097658,1.013445,0.911590,0.915493,0.828151,0.991054,0.960797,1.141433,1.331847,1.304510,1.167680,0.898315,1.015264,0.999761,1.003464,0.990536,1.076160,1.239291,1.066699,1.071585,1.012068,1.126253,1.011461,0.999216,1.239195,1.187180,0.988337,0.947913,0.970405,0.984335,0.944001,1.049661,0.945406,1.217595,0.907715,0.953930,0.957459,1.033477,1.113801,0.985894,1.263254,1.173450,1.079234,1.023586,1.159077,1.274678,1.205816,1.101574,1.366128,1.283400,1.100100,1.164387,1.227802,1.142600,1.121811,1.155769,1.101308,1.143210,1.102661,1.139219,1.131392,1.124221,0.974479,1.181276,1.082944,1.233426,0.962675,0.998180,1.095254,1.048245,1.096316,1.052212,0.981943,1.047350,0.930625,1.010535,1.050376,1.128048,0.890312,0.927184,1.061446,1.051941,0.982962,1.241575,1.223650,1.157230,1.244395,1.076804,1.025599,1.037606,1.018311,1.173527,1.257412,1.371835,1.257943,1.454082,0.945197,1.183248,1.125376,1.079971,1.153385,1.120461,1.207696,1.053645,1.125612,1.204052,1.319250,1.331828,1.059083,0.936519,1.256354,1.148982,1.201974,1.187067,1.285871,1.220418,1.218799,1.108903,1.126746,1.073883,1.291053,1.238427,1.497559,1.237218,1.310714,1.141246,1.149323,1.239082,1.148338,1.211786,1.487012,1.302829,1.122532,1.202238,1.484907,1.159767,1.296515,1.157027,1.367274,1.230032,1.234411,1.159050,1.180704,1.238107,1.120360,1.240916,1.246495,1.133060,1.314475,1.151537,1.110046,1.230735
