,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/伤逝__chunk003,杨戴/伤逝__chunk004,杨戴/在酒楼上__chunk001,杨戴/在酒楼上__chunk002,杨戴/奔月__chunk001,杨戴/奔月__chunk002,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/孤独者__chunk003,杨戴/孤独者__chunk004,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/故乡__chunk002,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/狂人日记__chunk002,杨戴/社戏__chunk001,杨戴/社戏__chunk002,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/祝福__chunk003,杨戴/祝福__chunk004,杨戴/离婚__chunk001,杨戴/离婚__chunk002,杨戴/肥皂__chunk001,杨戴/肥皂__chunk002,杨戴/药__chunk001,杨戴/药__chunk002,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/铸剑__chunk003,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/阿Q正传__chunk005,杨戴/阿Q正传__chunk006,杨戴/阿Q正传__chunk007,杨戴/阿Q正传__chunk008,杨戴/阿Q正传__chunk009,杨戴/风波__chunk001,杨戴/风波__chunk002,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/伤逝__chunk003,蓝/在酒楼上__chunk001,蓝/在酒楼上__chunk002,蓝/奔月__chunk001,蓝/奔月__chunk002,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/孤独者__chunk003,蓝/孤独者__chunk004,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/故乡__chunk002,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/狂人日记__chunk002,蓝/社戏__chunk001,蓝/社戏__chunk002,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/祝福__chunk003,蓝/离婚__chunk001,蓝/离婚__chunk002,蓝/肥皂__chunk001,蓝/肥皂__chunk002,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/铸剑__chunk003,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/阿Q正传__chunk005,蓝/阿Q正传__chunk006,蓝/阿Q正传__chunk007,蓝/阿Q正传__chunk008,蓝/风波__chunk001
杨戴/伤逝__chunk001,0.000000,0.906680,0.884964,1.009619,0.920428,0.977547,1.037475,1.160050,0.978166,1.015640,1.137498,1.041681,1.338642,1.010987,1.277745,0.972807,1.170358,1.415078,0.983692,0.980897,0.943313,1.080440,1.135553,1.042019,1.042050,1.001338,1.037425,0.988317,1.132187,1.140767,1.127474,1.175640,1.195417,1.271325,1.054002,1.106902,1.190067,1.088271,1.170410,1.203543,1.179802,1.329323,1.117262,1.257293,0.854005,0.992664,1.031027,1.004821,1.094128,1.124863,1.241275,1.156456,1.080510,1.215224,1.149676,1.295410,1.058889,1.128575,1.153231,1.206721,1.216401,1.054551,1.241426,1.022738,1.108454,1.247084,1.237237,1.278710,1.198742,1.275624,1.338541,1.271521,1.226871,1.348264,1.128374,1.230591,1.201920,1.308781,1.128536,1.143130,1.216913,1.229084,1.161337
杨戴/伤逝__chunk002,0.906680,0.000000,0.932786,1.003761,0.959169,0.803390,1.089903,1.240204,1.062869,0.940288,1.058412,1.049841,1.378323,0.882303,1.073170,1.046859,1.347408,1.342841,0.901819,1.083978,0.916853,1.002827,1.118217,1.089342,1.103375,1.114050,1.046619,1.019467,1.193302,1.250948,1.134851,1.281511,1.308162,1.239281,1.182039,1.112406,1.220943,1.036754,1.180314,1.050646,1.183780,1.300112,1.122828,1.177327,0.993955,0.859382,1.000822,1.027383,1.085991,1.174937,1.261075,1.156150,1.077328,1.044610,1.156531,1.277653,1.069774,1.062319,1.117565,1.250748,1.279128,1.085361,1.203841,1.002450,1.195210,1.237210,1.334847,1.287395,1.173500,1.287262,1.403026,1.261875,1.285020,1.402083,1.186379,1.249349,1.215519,1.326019,1.113607,1.132786,1.120816,1.178515,1.207276
杨戴/伤逝__chunk003,0.884964,0.932786,0.000000,0.863067,0.909125,0.946906,0.983737,1.097837,1.049031,1.041742,1.008071,1.015089,1.426360,0.954531,1.135934,1.032553,1.199661,1.400605,0.805031,1.093784,0.966386,1.007947,1.145456,1.144187,1.091244,1.063634,1.042925,1.052699,1.252204,1.216506,1.176318,1.190012,1.234131,1.255166,1.235324,1.199402,1.157246,1.101993,1.150853,1.210213,1.187598,1.335951,1.059532,1.260385,0.955729,0.881547,0.900048,1.097267,1.080694,1.039696,1.233890,1.190041,1.070897,0.969705,1.157890,1.260634,1.167348,1.151885,1.143560,1.204806,1.277812,0.936726,1.272828,0.971285,1.151057,1.329860,1.254683,1.305324,1.082673,1.237733,1.417916,1.287055,1.210878,1.362582,1.218094,1.292017,1.265331,1.301541,1.111159,1.119496,1.160206,1.200438,1.094562
杨戴/伤逝__chunk004,1.009619,1.003761,0.863067,0.000000,0.980802,0.951536,0.978102,1.207747,1.129884,1.064880,1.082839,0.985479,1.421812,1.018194,1.130146,0.995383,1.188797,1.372354,0.977092,1.170324,0.869820,1.039885,1.116327,1.177492,1.111959,1.227435,1.027896,1.131914,1.306645,1.171688,1.200273,1.302187,1.298834,1.256857,1.440760,1.185333,1.277554,1.208324,1.268021,1.301200,1.292284,1.404444,1.140303,1.190769,1.032408,0.847429,0.861750,1.132018,1.106861,1.023482,1.254526,1.238118,1.122767,1.046936,1.179121,1.361161,1.096628,1.237800,1.176542,1.190939,1.242820,1.198169,1.331517,1.067740,1.304220,1.260922,1.328065,1.261775,1.188303,1.321184,1.424387,1.328610,1.313805,1.384873,1.231894,1.364267,1.303122,1.361901,1.340729,1.300670,1.311748,1.309830,1.245756
杨戴/在酒楼上__chunk001,0.920428,0.959169,0.909125,0.980802,0.000000,0.792129,0.937994,0.890017,0.954207,0.912163,0.886714,0.917745,1.316585,0.939343,1.039107,0.832438,1.194110,1.225282,0.842522,1.052068,0.903546,0.938128,1.012269,1.108724,1.015329,1.070843,1.021275,1.024792,1.028831,1.116029,1.015962,1.097456,1.038980,1.210164,1.151645,1.070689,0.970769,0.896085,1.113239,1.012683,1.012005,1.025045,1.014838,1.148566,1.001570,1.005505,0.907968,0.815536,1.147152,0.950842,1.038555,1.109023,1.008338,1.108887,0.965972,1.214912,1.074349,1.152241,1.031884,1.170750,1.253163,1.003336,1.173198,1.011734,1.153766,1.218460,1.193525,1.228091,1.098960,1.207144,1.249380,1.115811,1.072441,1.173613,1.059761,1.267356,1.120349,1.062766,0.955921,1.027259,1.071077,1.075045,1.078438
杨戴/在酒楼上__chunk002,0.977547,0.803390,0.946906,0.951536,0.792129,0.000000,1.049382,1.180041,1.099626,0.883620,0.916669,1.038183,1.422883,0.991486,0.955935,1.007810,1.130242,1.178329,0.976050,1.198910,0.899081,0.899562,0.949393,0.991927,1.101386,1.112904,0.951783,1.068451,1.185449,1.190496,1.145801,1.276764,1.334008,1.171647,1.157559,1.148402,1.155694,1.033488,1.077596,1.059512,1.136076,1.192996,1.085979,1.201788,1.065328,0.968402,0.953271,1.037708,0.966961,1.089696,1.244364,1.235638,1.089564,1.052899,1.204757,1.429326,1.089068,1.125299,1.134536,1.190922,1.206236,1.227678,1.302165,0.982085,1.193428,1.164167,1.260836,1.234542,1.107170,1.339001,1.427617,1.222367,1.265714,1.431947,1.164975,1.295995,1.259431,1.308594,1.196745,1.193675,1.138896,1.239394,1.165859
杨戴/奔月__chunk001,1.037475,1.089903,0.983737,0.978102,0.937994,1.049382,0.000000,0.757666,0.868795,0.871027,1.062419,0.920423,1.135537,0.954898,0.988330,0.912856,1.116254,1.268773,0.931820,1.026481,0.979721,1.011287,1.116619,1.094691,0.831807,0.937614,0.747158,0.739881,0.911508,1.065010,0.804700,0.891495,0.899742,1.126222,1.170834,0.953187,0.950925,0.990010,1.085824,0.963672,0.952660,1.261075,0.797131,0.903541,0.941634,0.970232,1.023995,0.866351,1.038627,0.620186,0.840304,0.902179,0.905111,0.997215,0.880824,0.997539,0.828348,0.907487,0.930767,1.138300,1.099349,0.966501,1.021252,0.954958,0.984989,1.131522,0.921201,0.944649,0.894922,0.893213,1.048144,0.850130,0.924920,1.045113,1.013651,1.043684,0.967991,0.949138,1.016462,0.956022,0.897545,0.934694,0.843551
杨戴/奔月__chunk002,1.160050,1.240204,1.097837,1.207747,0.890017,1.180041,0.757666,0.000000,0.926405,1.042750,1.157765,0.927734,1.262784,1.088309,0.987751,1.017426,1.273661,1.354487,0.980997,1.045156,1.062578,1.104416,1.112956,1.132761,1.003265,0.995766,0.908100,0.925903,0.907421,1.053201,0.772526,0.914624,1.009660,1.257822,1.092565,1.074523,0.953810,1.001801,1.105260,0.981694,0.875644,1.134688,0.964045,0.964928,1.060765,1.160844,1.173354,1.002852,1.149258,0.831683,0.651518,0.973937,1.032482,1.089775,0.917581,1.092181,0.957511,0.997171,1.008680,1.324880,1.194306,1.056387,1.100683,1.037960,1.090451,1.130876,1.008622,1.067561,0.968914,1.070139,1.041417,0.883202,0.908331,1.079361,1.133299,1.103634,1.033219,1.034157,0.952408,1.018689,0.922216,0.840204,0.975747
杨戴/孤独者__chunk001,0.978166,1.062869,1.049031,1.129884,0.954207,1.099626,0.868795,0.926405,0.000000,0.906499,0.976647,0.815180,1.258488,0.957395,1.084610,0.943379,1.032046,1.285297,0.838481,0.971861,0.838813,0.920276,1.043596,1.169447,0.888717,0.923055,0.980778,0.982777,0.984085,1.077790,0.971472,0.855533,0.910967,0.990593,0.971294,0.913649,0.911791,0.911743,0.859425,0.887655,0.980785,1.144019,0.958383,1.039179,1.069862,1.107375,1.036703,0.974852,1.158936,0.964552,1.032311,0.727248,0.969580,1.051102,0.838870,1.091897,1.005705,0.988723,0.995056,1.143081,1.038524,0.922841,1.052611,0.946860,1.009579,1.240268,1.014756,1.155471,1.065455,1.154981,1.090342,1.022544,0.920699,1.019339,0.967913,1.013426,0.896232,1.013419,0.911539,0.851134,0.902101,1.039795,0.995308
杨戴/孤独者__chunk002,1.015640,0.940288,1.041742,1.064880,0.912163,0.883620,0.871027,1.042750,0.906499,0.000000,0.941624,0.964499,1.334182,0.825265,0.982670,1.093068,0.966547,1.143262,0.943311,1.088063,0.916315,0.933445,1.057509,1.043621,0.919562,0.963838,0.956450,0.955012,1.103451,1.074537,0.971488,1.039962,1.140549,1.176008,1.195625,1.036431,1.107224,0.949690,1.123297,0.984393,0.986665,1.287082,1.011281,1.084636,1.131691,1.067478,1.013554,0.995718,1.085158,1.017183,1.065821,0.992312,0.824728,1.000238,1.088231,1.211149,0.927751,1.077437,1.093770,1.106970,1.087521,1.102145,1.231573,0.943675,1.070931,1.173371,1.059875,1.134975,1.046879,1.102055,1.320766,1.063381,1.131390,1.309476,1.094913,1.255322,1.127415,1.232551,1.052496,1.088469,1.095048,1.117936,1.116602
