,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,杨戴/奔月__chunk001,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/社戏__chunk001,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/离婚__chunk001,杨戴/肥皂__chunk001,杨戴/药__chunk001,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/风波__chunk001,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/在酒楼上__chunk001,蓝/奔月__chunk001,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/社戏__chunk001,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/离婚__chunk001,蓝/肥皂__chunk001,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/风波__chunk001
杨戴/伤逝__chunk001,0.000000,0.905020,0.839876,1.129164,0.949593,1.038929,1.398111,1.029294,0.978845,1.317944,0.881574,0.988310,1.119789,1.078662,1.016854,1.187487,1.179192,1.253191,1.217586,1.200341,1.158788,1.145458,1.251951,0.905197,1.126755,0.970638,1.236822,1.149837,1.119064,1.409683,1.063933,1.233076,1.190633,1.176017,1.084088,1.243926,1.342197,1.283970,1.370856,1.322551,1.424025,1.235431,1.331925,1.184542,1.246722,1.351270
杨戴/伤逝__chunk002,0.905020,0.000000,0.903899,1.075867,1.081248,0.966475,1.454598,1.061426,1.049489,1.368824,0.952295,0.955932,1.154819,1.130472,1.073870,1.274167,1.161202,1.360820,1.366195,1.201437,1.176606,1.271037,1.150881,0.973504,0.870870,1.042123,1.176272,1.197375,1.067204,1.453361,1.180407,1.285476,1.246141,1.195446,1.146336,1.387991,1.339960,1.297315,1.520449,1.316647,1.498114,1.337419,1.348883,1.238566,1.269869,1.304208
杨戴/在酒楼上__chunk001,0.839876,0.903899,0.000000,1.013149,0.894112,0.822884,1.381768,0.993686,0.925007,1.226819,1.002257,0.893022,0.928659,1.056311,1.012129,1.135166,1.132446,1.235814,1.264578,1.095975,1.021229,1.033896,1.140173,1.023595,0.991095,0.895609,1.090268,1.186919,1.031109,1.457464,1.156982,1.171889,1.238800,1.243200,1.105066,1.228915,1.284717,1.229027,1.442626,1.195586,1.385816,1.228467,1.220133,1.125772,1.189626,1.246840
杨戴/奔月__chunk001,1.129164,1.075867,1.013149,0.000000,0.855394,0.961584,1.164645,0.980008,1.013634,1.352833,0.892263,1.071543,1.095111,0.917372,0.743755,0.903148,0.800992,0.994863,1.184187,0.938088,1.027399,0.928862,0.900933,1.076703,1.195518,0.939771,0.603938,0.918051,0.937744,1.110502,0.863134,1.005124,1.168094,1.076318,1.010985,1.166689,0.998114,0.900026,1.076548,0.850187,1.164388,1.022250,1.016997,0.962734,0.884008,0.923237
杨戴/孤独者__chunk001,0.949593,1.081248,0.894112,0.855394,0.000000,0.828093,1.260498,0.851915,1.121758,1.103967,0.870850,0.849051,1.018886,0.898201,0.916381,0.966005,0.913227,1.079881,1.085667,0.936011,0.886576,0.919860,1.003444,1.088907,1.130947,0.973100,1.020731,0.751243,0.868468,1.266398,0.952772,1.197536,1.065422,1.076019,0.913049,1.153856,1.095870,1.141441,1.304766,1.042332,1.196226,1.070671,1.048096,0.913670,1.014992,1.138741
杨戴/孤独者__chunk002,1.038929,0.966475,0.822884,0.961584,0.828093,0.000000,1.198062,0.925570,1.117485,1.078715,0.844193,0.850084,1.105590,1.010507,0.972461,1.078785,1.069125,1.146317,1.042572,1.020492,0.928716,0.969304,1.109159,1.067390,1.069757,0.973109,1.052894,0.948666,0.791171,1.341137,0.996665,1.215604,1.008782,1.168444,1.003447,1.202194,1.154885,1.160929,1.393817,1.031631,1.321599,1.091897,1.188666,1.056121,1.041061,1.210202
杨戴/幸福的家庭__chunk001,1.398111,1.454598,1.381768,1.164645,1.260498,1.198062,0.000000,1.361241,1.355865,1.424399,1.274917,1.338733,1.455006,1.200380,1.058869,1.184617,1.179608,1.252119,1.262224,1.241885,1.356985,1.358123,1.222888,1.479975,1.478527,1.361310,1.236396,1.232174,1.265938,0.820858,1.388825,1.260584,1.281770,1.392938,1.234384,1.415785,1.190859,1.187402,1.319896,1.150472,1.339054,1.255025,1.355863,1.221875,1.285938,1.200356
杨戴/故乡__chunk001,1.029294,1.061426,0.993686,0.980008,0.851915,0.925570,1.361241,0.000000,1.125346,1.123662,0.934643,0.849388,1.118836,0.989088,1.070376,1.114227,1.098371,1.319920,1.310379,1.060379,1.000170,1.000967,1.022437,1.225640,1.173742,1.108114,1.122280,1.036733,1.043312,1.470893,0.913337,1.346085,1.172350,1.238044,1.103653,1.331982,1.272778,1.175195,1.462921,1.196489,1.470919,1.320096,1.265849,1.091505,1.135242,1.266160
杨戴/明天__chunk001,0.978845,1.049489,0.925007,1.013634,1.121758,1.117485,1.355865,1.125346,0.000000,1.591593,1.071113,1.074102,1.103886,1.126129,1.086889,1.032605,1.050010,1.075665,1.427865,1.146585,1.084755,1.068939,1.005982,1.250891,1.213121,1.115879,1.063272,1.195648,1.149127,1.258059,1.144528,0.908337,1.347381,1.291206,1.126173,1.257457,1.246618,1.249881,1.249497,1.119477,1.267480,1.265485,1.190006,1.086680,1.122279,1.119988
杨戴/狂人日记__chunk001,1.317944,1.368824,1.226819,1.352833,1.103967,1.078715,1.424399,1.123662,1.591593,0.000000,1.333082,1.083651,1.331537,1.237590,1.263826,1.317221,1.394098,1.413479,1.302784,1.439391,1.263715,1.413193,1.455111,1.432151,1.369124,1.359580,1.503822,1.322716,1.354886,1.621573,1.345696,1.703015,0.860562,1.539250,1.429171,1.572572,1.445722,1.497599,1.691815,1.485456,1.633604,1.434758,1.679490,1.344216,1.506203,1.519999
