scale,sample,group,word_length_dist,function_word_freq,char_ngrams,word_bigrams,sentence_stats,punct_dist,ttr,hapax_ratio,weighted_total
1k,杨戴/伤逝__chunk001,杨戴,0.998165,0.907144,0.859237,0.652168,0.899673,0.992321,0.969424,0.978707,0.897440
1k,杨戴/伤逝__chunk002,杨戴,0.996849,0.855004,0.838194,0.617002,0.894551,0.991506,0.986057,0.996764,0.877271
1k,杨戴/伤逝__chunk003,杨戴,0.995730,0.919115,0.898423,0.755093,0.963404,0.988624,0.983337,0.958118,0.924366
1k,杨戴/伤逝__chunk004,杨戴,0.998146,0.891083,0.861816,0.631541,0.894469,0.997354,0.935224,0.901964,0.882632
1k,杨戴/伤逝__chunk005,杨戴,0.998391,0.900006,0.896397,0.663805,0.919895,0.994760,0.999687,0.945038,0.902656
1k,杨戴/伤逝__chunk006,杨戴,0.995068,0.900421,0.910521,0.792340,0.882263,0.989983,0.931125,0.873489,0.907521
1k,杨戴/伤逝__chunk007,杨戴,0.996699,0.888948,0.882483,0.668147,0.837137,0.994057,0.905271,0.816191,0.874859
1k,杨戴/在酒楼上__chunk001,杨戴,0.992969,0.918099,0.909326,0.805772,0.859739,0.988592,0.983337,0.938631,0.920587
1k,杨戴/在酒楼上__chunk002,杨戴,0.996113,0.933505,0.909911,0.728488,0.880851,0.988953,0.948040,0.855917,0.908459
1k,杨戴/在酒楼上__chunk003,杨戴,0.997572,0.915828,0.886794,0.711214,0.837894,0.981120,0.945664,0.913700,0.896736
1k,杨戴/在酒楼上__chunk004,杨戴,0.996422,0.863883,0.890582,0.596580,0.871182,0.986634,0.971982,0.929181,0.871594
1k,杨戴/在酒楼上__chunk005,杨戴,0.988120,0.899412,0.852302,0.663509,0.781675,0.979886,0.908266,0.910423,0.872275
1k,杨戴/奔月__chunk001,杨戴,0.998533,0.973573,0.883819,0.751202,0.811571,0.968414,0.988433,0.996029,0.923860
1k,杨戴/奔月__chunk002,杨戴,0.995355,0.934748,0.908356,0.659290,0.702755,0.948958,0.916170,0.902174,0.873616
1k,杨戴/奔月__chunk003,杨戴,0.991292,0.949837,0.876181,0.683336,0.681076,0.972181,0.914931,0.854617,0.878548
1k,杨戴/奔月__chunk004,杨戴,0.994978,0.951328,0.898618,0.792159,0.677827,0.977479,0.987647,0.954935,0.909567
1k,杨戴/孤独者__chunk001,杨戴,0.995236,0.957827,0.916817,0.834675,0.944962,0.986155,0.954350,0.922987,0.941917
1k,杨戴/孤独者__chunk002,杨戴,0.994641,0.966772,0.926522,0.766605,0.956935,0.990248,0.897374,0.831520,0.926357
1k,杨戴/孤独者__chunk003,杨戴,0.989765,0.911767,0.892545,0.700131,0.782744,0.991116,0.967048,0.971484,0.894374
1k,杨戴/孤独者__chunk004,杨戴,0.995017,0.889180,0.866339,0.587131,0.750904,0.993829,0.983337,0.964795,0.868381
1k,杨戴/孤独者__chunk005,杨戴,0.993563,0.918338,0.912442,0.686602,0.835734,0.989701,0.956519,0.910842,0.896693
1k,杨戴/孤独者__chunk006,杨戴,0.987504,0.797624,0.834655,0.482802,0.813430,0.996252,0.981304,0.992459,0.830725
1k,杨戴/孤独者__chunk007,杨戴,0.997787,0.933096,0.892699,0.684974,0.917478,0.987942,0.956519,0.941823,0.909771
1k,杨戴/孤独者__chunk008,杨戴,0.992589,0.944433,0.876380,0.732285,0.845621,0.990680,0.875759,0.822405,0.898111
1k,杨戴/幸福的家庭__chunk001,杨戴,0.989454,0.908607,0.881871,0.638482,0.831386,0.969542,0.983337,0.951533,0.885874
1k,杨戴/幸福的家庭__chunk002,杨戴,0.991629,0.904318,0.900560,0.681982,0.948231,0.990578,0.987631,0.939126,0.906913
1k,杨戴/幸福的家庭__chunk003,杨戴,0.995657,0.911331,0.863371,0.594320,0.902574,0.985509,0.962778,0.971939,0.888240
1k,杨戴/故乡__chunk001,杨戴,0.995245,0.955736,0.910937,0.741232,0.639116,0.985047,0.993185,0.974986,0.902713
1k,杨戴/故乡__chunk002,杨戴,0.996211,0.936600,0.896214,0.768514,0.917343,0.997512,0.993185,0.999625,0.931350
1k,杨戴/故乡__chunk003,杨戴,0.994110,0.904470,0.884678,0.652602,0.913067,0.982064,0.971800,0.946203,0.895983
1k,杨戴/故乡__chunk004,杨戴,0.990118,0.963334,0.894908,0.761775,0.811178,0.975640,0.952974,0.996107,0.919590
1k,杨戴/明天__chunk001,杨戴,0.990937,0.931072,0.895849,0.580788,0.903193,0.950252,0.994961,0.985930,0.891976
1k,杨戴/明天__chunk002,杨戴,0.991980,0.931597,0.881906,0.557537,0.929011,0.979118,0.966082,0.993451,0.892453
1k,杨戴/明天__chunk003,杨戴,0.969073,0.865723,0.866411,0.535790,0.910775,0.995493,0.893176,0.896392,0.854852
1k,杨戴/狂人日记__chunk001,杨戴,0.984341,0.904232,0.879328,0.692028,0.796434,0.995661,0.964672,0.985930,0.892230
1k,杨戴/狂人日记__chunk002,杨戴,0.994572,0.886271,0.864369,0.625755,0.921262,0.985188,0.891015,0.848694,0.873861
1k,杨戴/狂人日记__chunk003,杨戴,0.994720,0.881872,0.905195,0.633497,0.857207,0.986937,0.993185,0.985395,0.886667
1k,杨戴/狂人日记__chunk004,杨戴,0.995950,0.877564,0.868163,0.719175,0.966048,0.996521,0.908197,0.854365,0.893769
1k,杨戴/社戏__chunk001,杨戴,0.993812,0.912204,0.908690,0.726940,0.817956,0.991351,0.962296,0.953426,0.901917
