work,group_a,group_b,cross_translator_dist,same_translator_dist,winner
伤逝,杨戴,蓝,0.940139,1.061099,original
在酒楼上,杨戴,蓝,1.012887,1.044829,original
奔月,杨戴,蓝,0.849485,0.996384,original
孤独者,杨戴,蓝,0.987915,1.017687,original
幸福的家庭,杨戴,蓝,0.982796,1.127147,original
故乡,杨戴,蓝,1.000145,1.037685,original
明天,杨戴,蓝,0.949119,1.021667,original
狂人日记,杨戴,蓝,0.996787,1.157818,original
社戏,杨戴,蓝,0.943363,1.030903,original
祝福,杨戴,蓝,1.058366,1.062904,original
离婚,杨戴,蓝,0.914567,1.019423,original
肥皂,杨戴,蓝,0.874265,1.010064,original
药,杨戴,蓝,0.943117,1.028494,original
铸剑,杨戴,蓝,0.886331,1.038690,original
阿Q正传,杨戴,蓝,0.977735,1.070494,original
风波,杨戴,蓝,0.812607,0.973486,original
