,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/伤逝__chunk003,杨戴/伤逝__chunk004,杨戴/伤逝__chunk005,杨戴/伤逝__chunk006,杨戴/伤逝__chunk007,杨戴/在酒楼上__chunk001,杨戴/在酒楼上__chunk002,杨戴/在酒楼上__chunk003,杨戴/在酒楼上__chunk004,杨戴/在酒楼上__chunk005,杨戴/奔月__chunk001,杨戴/奔月__chunk002,杨戴/奔月__chunk003,杨戴/奔月__chunk004,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/孤独者__chunk003,杨戴/孤独者__chunk004,杨戴/孤独者__chunk005,杨戴/孤独者__chunk006,杨戴/孤独者__chunk007,杨戴/孤独者__chunk008,杨戴/幸福的家庭__chunk001,杨戴/幸福的家庭__chunk002,杨戴/幸福的家庭__chunk003,杨戴/故乡__chunk001,杨戴/故乡__chunk002,杨戴/故乡__chunk003,杨戴/故乡__chunk004,杨戴/明天__chunk001,杨戴/明天__chunk002,杨戴/明天__chunk003,杨戴/狂人日记__chunk001,杨戴/狂人日记__chunk002,杨戴/狂人日记__chunk003,杨戴/狂人日记__chunk004,杨戴/社戏__chunk001,杨戴/社戏__chunk002,杨戴/社戏__chunk003,杨戴/社戏__chunk004,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/祝福__chunk003,杨戴/祝福__chunk004,杨戴/祝福__chunk005,杨戴/祝福__chunk006,杨戴/祝福__chunk007,杨戴/离婚__chunk001,杨戴/离婚__chunk002,杨戴/离婚__chunk003,杨戴/肥皂__chunk001,杨戴/肥皂__chunk002,杨戴/肥皂__chunk003,杨戴/肥皂__chunk004,杨戴/药__chunk001,杨戴/药__chunk002,杨戴/药__chunk003,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/铸剑__chunk003,杨戴/铸剑__chunk004,杨戴/铸剑__chunk005,杨戴/铸剑__chunk006,杨戴/铸剑__chunk007,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/阿Q正传__chunk005,杨戴/阿Q正传__chunk006,杨戴/阿Q正传__chunk007,杨戴/阿Q正传__chunk008,杨戴/阿Q正传__chunk009,杨戴/阿Q正传__chunk010,杨戴/阿Q正传__chunk011,杨戴/阿Q正传__chunk012,杨戴/阿Q正传__chunk013,杨戴/阿Q正传__chunk014,杨戴/阿Q正传__chunk015,杨戴/阿Q正传__chunk016,杨戴/阿Q正传__chunk017,杨戴/风波__chunk001,杨戴/风波__chunk002,杨戴/风波__chunk003,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/伤逝__chunk003,蓝/伤逝__chunk004,蓝/伤逝__chunk005,蓝/伤逝__chunk006,蓝/伤逝__chunk007,蓝/在酒楼上__chunk001,蓝/在酒楼上__chunk002,蓝/在酒楼上__chunk003,蓝/在酒楼上__chunk004,蓝/奔月__chunk001,蓝/奔月__chunk002,蓝/奔月__chunk003,蓝/奔月__chunk004,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/孤独者__chunk003,蓝/孤独者__chunk004,蓝/孤独者__chunk005,蓝/孤独者__chunk006,蓝/孤独者__chunk007,蓝/孤独者__chunk008,蓝/幸福的家庭__chunk001,蓝/幸福的家庭__chunk002,蓝/幸福的家庭__chunk003,蓝/故乡__chunk001,蓝/故乡__chunk002,蓝/故乡__chunk003,蓝/明天__chunk001,蓝/明天__chunk002,蓝/狂人日记__chunk001,蓝/狂人日记__chunk002,蓝/狂人日记__chunk003,蓝/社戏__chunk001,蓝/社戏__chunk002,蓝/社戏__chunk003,蓝/社戏__chunk004,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/祝福__chunk003,蓝/祝福__chunk004,蓝/祝福__chunk005,蓝/祝福__chunk006,蓝/祝福__chunk007,蓝/离婚__chunk001,蓝/离婚__chunk002,蓝/离婚__chunk003,蓝/肥皂__chunk001,蓝/肥皂__chunk002,蓝/肥皂__chunk003,蓝/肥皂__chunk004,蓝/药__chunk001,蓝/药__chunk002,蓝/药__chunk003,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/铸剑__chunk003,蓝/铸剑__chunk004,蓝/铸剑__chunk005,蓝/铸剑__chunk006,蓝/铸剑__chunk007,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/阿Q正传__chunk005,蓝/阿Q正传__chunk006,蓝/阿Q正传__chunk007,蓝/阿Q正传__chunk008,蓝/阿Q正传__chunk009,蓝/阿Q正传__chunk010,蓝/阿Q正传__chunk011,蓝/阿Q正传__chunk012,蓝/阿Q正传__chunk013,蓝/阿Q正传__chunk014,蓝/阿Q正传__chunk015,蓝/阿Q正传__chunk016,蓝/阿Q正传__chunk017,蓝/风波__chunk001,蓝/风波__chunk002,蓝/风波__chunk003
杨戴/伤逝__chunk001,0.000000,0.913824,0.997720,1.106562,0.933806,0.926219,0.914353,1.067741,1.061818,1.083878,1.029264,1.086316,1.016184,1.062684,1.091824,1.140711,0.959132,0.979485,0.993024,1.088065,1.061098,1.288524,1.090603,1.151121,1.379632,1.212288,1.117475,1.005474,1.010021,1.312100,1.185702,0.961198,1.068785,1.240169,1.069112,1.309193,1.301900,1.227888,1.099957,0.959015,1.046094,1.072660,0.952259,1.024782,1.025063,1.099001,1.098782,1.163381,1.011166,1.063574,0.998888,0.887814,0.990537,1.136210,1.102042,0.924156,1.135523,1.106381,0.961377,1.172351,0.991517,1.113220,1.132504,1.118740,1.069727,1.174510,1.236906,1.126160,1.060599,1.137511,1.092749,1.076148,1.146169,1.288366,1.108275,1.035048,1.362955,1.024670,1.091845,1.228304,1.264569,1.168486,1.262312,0.952205,1.151472,1.016919,0.781798,0.934446,0.983691,1.010476,0.979517,1.001999,0.975380,0.988037,0.955495,1.219308,1.145838,1.034657,0.970175,1.083578,1.291971,1.060266,1.018087,0.997185,1.085413,1.019623,1.189662,0.881784,1.263344,1.200512,1.073528,1.346326,0.918956,1.129150,1.069095,1.043909,1.148960,1.099423,1.182544,1.086020,0.939620,1.022234,1.137725,1.146192,0.960909,1.000319,0.946220,1.099482,1.287001,1.093299,1.092078,1.066693,1.110062,1.000737,1.010522,1.074863,1.248495,1.091990,1.137419,1.208261,0.996215,1.266893,1.055076,1.139519,1.032523,1.139318,1.125940,1.095362,1.098805,1.072092,1.163825,1.135501,1.272675,0.987490,1.225077,1.128121,1.088445,1.104729,1.109276,1.079016,1.148672,1.080435,1.164463,1.193903,1.268585,0.905765,1.101024,1.134719
杨戴/伤逝__chunk002,0.913824,0.000000,0.817039,0.891919,0.882434,0.824081,0.889109,1.031322,0.824456,0.958725,0.831560,1.048866,1.050715,1.106559,1.138235,1.211086,0.999846,0.986928,1.114814,0.946287,0.909638,1.245196,1.073836,1.182027,1.299206,1.272777,1.195893,1.008349,1.098873,1.298226,1.056229,1.005060,1.044165,1.002883,1.126397,1.193220,1.279016,1.276243,0.942204,0.983129,1.051326,0.974552,1.088630,1.043336,0.981436,1.028254,1.045557,1.175978,0.998821,1.253956,0.941581,0.904412,1.029440,1.051072,1.049412,0.950493,1.150495,1.092979,1.049263,1.169702,1.113629,1.102416,1.185622,1.161067,1.203734,1.181330,1.246074,1.265850,1.174448,1.099970,1.104220,1.182328,1.184583,1.119601,1.165413,1.230928,1.302488,1.056018,1.111795,1.162954,1.178109,1.232476,1.164676,1.014114,1.214806,1.182848,1.097208,0.814616,0.980882,1.025406,0.965060,1.034592,1.195039,1.150459,0.898365,0.976434,0.990503,1.097222,1.198078,1.266864,1.265950,1.222351,1.168731,1.081916,1.143633,1.171474,1.177542,1.137197,1.266063,1.286510,1.216193,1.508697,1.068177,1.159408,1.173143,1.068796,1.194100,1.149108,1.215395,1.216523,1.082759,1.160110,1.185821,1.244075,1.221005,0.941409,1.053952,1.140277,1.197307,1.108034,1.258279,1.294467,1.173721,1.189232,1.133855,1.160379,1.299448,1.204327,1.447610,1.272964,1.195572,1.310053,1.137392,1.210949,1.209884,1.231889,1.381111,1.201255,1.192680,1.131836,1.406245,1.193174,1.419712,1.158872,1.308905,1.320463,1.187030,1.178472,1.219294,1.096836,1.271570,1.252293,1.252809,1.276331,1.316251,1.109818,1.221773,1.333283
杨戴/伤逝__chunk003,0.997720,0.817039,0.000000,0.933346,0.929537,0.858859,0.939240,1.082462,0.823355,0.924611,0.776862,1.159392,0.964996,1.063841,1.045470,1.205207,1.044462,0.969383,0.946061,0.907780,0.905801,1.232736,0.982198,1.190714,1.343508,1.137171,1.093833,0.957870,0.980544,1.102091,1.078895,0.972833,1.104031,1.114803,1.175754,1.313409,1.270580,1.351837,0.918083,0.978423,1.013638,0.947614,0.983078,0.971475,0.935787,0.992628,0.951061,1.123689,0.997012,1.174063,0.985211,0.961699,0.886558,1.151849,1.027418,0.870231,1.081488,0.968144,1.005921,1.034456,1.066215,1.180898,1.180773,1.110511,1.245856,1.178684,1.156846,1.168025,1.142758,1.218982,1.089927,1.122655,1.082836,1.228663,1.054085,1.030726,1.207493,1.146949,0.995727,1.104197,1.203416,1.134286,1.243465,0.949571,1.196933,0.903261,0.973297,0.871164,0.835011,1.043380,0.931776,0.891426,1.112547,1.065993,0.825056,1.047727,0.990393,1.041919,1.100061,1.051431,1.216115,1.051358,1.010888,0.972980,1.051916,0.959395,1.024393,1.030067,1.106197,1.198304,1.048319,1.314316,0.957298,1.038043,1.025446,0.953573,1.027024,1.168088,1.134971,1.183618,0.974940,1.008580,1.058750,1.090188,1.002982,0.895414,0.927477,1.038598,1.061721,1.191326,1.082475,1.192503,1.094138,1.046666,0.964637,1.105526,1.125376,1.173702,1.306264,1.172210,1.093309,1.134533,1.030684,1.103361,1.125263,1.069525,1.255642,1.254980,1.136927,1.107074,1.259638,1.116903,1.136501,1.121904,1.159412,1.255822,1.014982,1.116360,1.111147,1.057772,1.101825,1.184755,1.152526,1.139217,1.296669,0.960571,1.145448,1.194052
杨戴/伤逝__chunk004,1.106562,0.891919,0.933346,0.000000,0.934814,0.876553,0.909847,1.004109,0.898910,0.866817,0.891775,1.133561,1.182268,1.078045,1.159695,1.228259,1.070271,0.938386,1.100766,0.948937,0.865559,1.126506,0.939012,1.071922,1.392268,1.257819,1.186549,0.950052,0.952694,1.056513,1.041378,1.084135,1.000539,1.132341,1.276462,1.287283,1.185161,1.220824,1.011631,0.798233,1.046145,1.098708,1.088030,1.011194,0.962887,1.122773,1.048887,1.118751,1.026695,1.208721,1.036670,0.930551,0.976870,0.990632,1.074250,0.957689,1.259201,1.170866,1.070003,1.016407,1.088612,1.216049,1.221058,1.214529,1.307316,1.128266,1.204699,1.150876,1.179142,1.092655,1.085094,1.190691,1.154399,1.163717,1.056448,1.057231,1.142363,1.174018,1.060259,1.089052,1.127789,1.157966,1.120152,1.060568,1.085436,1.086353,1.143323,1.006082,0.999648,0.840661,1.060519,1.037606,1.090194,1.185601,0.930292,1.096063,1.090095,1.075665,1.146222,1.106665,1.341006,1.115928,1.195110,1.056804,1.049703,0.990503,1.059850,1.139344,1.139521,1.269846,1.201452,1.430399,0.986780,1.146380,1.005323,1.088683,1.122613,1.272329,1.224842,1.085419,1.100141,1.004654,1.151026,1.260768,1.146984,0.962109,1.142560,1.162020,1.204763,1.224058,1.295844,1.247623,1.206220,1.158205,1.136733,1.110954,1.169100,1.233251,1.418484,1.265251,1.242104,1.184250,1.152040,1.181699,1.183118,1.274480,1.404542,1.096274,1.218043,1.167369,1.410818,1.149291,1.346351,1.179980,1.267543,1.227309,1.140977,1.107154,1.070647,1.209639,1.014971,1.147693,1.158494,1.174241,1.272059,1.093477,1.202903,1.339028
杨戴/伤逝__chunk005,0.933806,0.882434,0.929537,0.934814,0.000000,0.669319,0.772605,0.999835,0.964295,0.954687,0.935279,1.203340,1.077613,0.965535,1.079632,1.108693,1.018872,0.981479,1.000006,1.046486,0.824261,1.102079,0.965466,1.192895,1.366000,1.196282,1.190672,0.996408,0.994229,1.194061,1.134541,0.942750,1.090476,1.144736,1.125884,1.159937,1.305144,1.267571,0.856771,0.771698,0.966038,1.181600,1.009099,0.992025,0.949668,1.061332,1.017658,1.012531,1.045701,1.163798,1.024633,0.915378,1.044045,0.977221,1.127807,0.993794,1.233621,1.064659,1.084801,1.141847,1.132875,1.093560,1.120497,1.139990,1.191430,1.245591,1.218182,0.994190,1.122318,1.229538,1.192664,1.171811,1.095331,1.119083,1.114592,1.102092,1.223660,1.066706,1.142255,1.133064,1.186742,1.106124,1.218992,1.016246,1.079462,1.094996,0.957690,0.973063,0.968147,0.785742,0.871562,1.021452,1.037913,1.050668,1.028096,1.040235,1.063895,1.050623,1.024768,1.165617,1.255918,1.157667,1.094629,0.965604,1.063387,0.860659,1.040413,1.013479,1.214421,1.190092,1.162895,1.368493,1.007216,1.267692,1.146365,0.996202,1.223141,1.118639,1.156232,1.159951,0.921720,0.889049,1.115673,1.237847,1.050115,0.987478,1.054442,1.122045,1.187382,1.198452,1.223031,1.179901,1.227516,1.086071,1.098138,0.965765,1.217005,1.190950,1.369669,1.305596,1.209003,1.216676,1.107494,1.143856,1.110896,1.103872,1.367644,1.289379,1.212770,1.125466,1.306382,1.172827,1.248584,1.206899,1.228776,1.190241,1.107297,1.114186,1.111916,1.212160,1.136348,1.096166,1.151000,1.194272,1.174102,1.017149,1.116181,1.205195
杨戴/伤逝__chunk006,0.926219,0.824081,0.858859,0.876553,0.669319,0.000000,0.752959,0.949435,0.800497,0.853126,0.857644,1.029804,0.949853,0.879881,0.930275,1.046500,0.967053,0.847350,0.884404,0.920832,0.823267,1.048462,0.881135,1.116699,1.290176,1.203526,1.076830,0.924260,0.876593,1.049881,0.899709,0.965756,1.032990,1.052845,1.115599,1.108458,1.200252,1.257848,0.814277,0.886488,0.950954,0.965432,0.888954,1.022883,0.841330,1.027364,0.989178,1.197916,0.974267,1.083078,0.920086,0.775608,0.893652,0.903898,0.895253,0.940026,1.167073,0.983924,0.930904,0.941648,0.978230,1.057016,1.057901,1.027420,1.165298,1.107882,1.147715,1.117044,1.155692,1.118641,1.008417,1.085201,0.977808,1.157606,1.007973,1.043211,1.145338,0.983431,1.030964,1.107451,1.123182,1.116895,1.074242,0.877145,1.029865,0.901493,0.885165,0.853604,0.901667,0.787664,0.743903,0.835799,0.965999,1.032835,0.833913,0.935827,0.923051,0.962678,0.902234,0.986991,1.139732,1.074913,1.037156,0.975275,0.946645,0.929869,0.810237,0.990726,1.095582,1.123904,1.036046,1.285648,0.884585,1.061006,0.954650,0.997313,1.062985,1.030046,1.107035,1.084662,0.874762,0.972447,1.015204,1.077283,0.935824,0.860847,0.982337,0.984114,1.134920,1.237312,1.142512,1.090874,1.030445,1.031022,0.991759,0.838569,1.033384,1.067779,1.333273,1.064778,1.061007,1.060896,1.004684,1.053215,0.976610,1.045153,1.304711,1.120547,1.116920,1.123919,1.231047,1.113884,1.136800,1.140708,1.142295,1.116373,1.059502,1.086374,1.057888,0.959369,1.127652,1.071875,1.127752,1.063455,1.138698,0.861285,1.009310,1.121667
杨戴/伤逝__chunk007,0.914353,0.889109,0.939240,0.909847,0.772605,0.752959,0.000000,0.933498,0.895222,0.923886,0.873966,1.040290,0.978070,0.905854,1.050456,1.047818,1.057084,0.964264,1.008368,0.895813,0.786877,1.093567,0.944262,1.081839,1.348883,1.186042,1.131670,0.967966,0.900357,1.014344,1.075490,0.934395,1.084871,1.161807,1.076325,1.121805,1.222203,1.176282,0.860472,0.926104,1.010362,1.030898,0.888338,0.868221,0.924061,0.957696,0.886847,1.037299,1.036649,1.152984,0.858593,0.957112,0.971534,0.939249,1.100950,0.899894,1.132002,1.084871,0.974933,1.086752,1.020376,1.082269,1.155197,1.133225,1.192979,1.176357,1.123280,1.182878,1.177591,1.230343,1.115180,1.061347,1.073008,1.064404,1.017014,1.106811,1.189233,1.137049,1.061515,1.187338,1.082684,1.262704,1.153526,0.980403,1.122814,0.955015,0.893714,0.971743,0.740192,0.819589,0.840587,0.783899,0.810942,1.020133,0.880767,0.965817,0.972954,0.939672,0.986514,1.012578,1.113026,1.124854,1.071600,0.951659,0.980102,0.898298,0.922059,0.946866,1.091240,1.248122,1.152967,1.293357,0.890707,1.033900,1.067603,1.053636,1.026538,1.010747,1.032614,1.046346,0.991112,1.066473,1.061086,1.126783,0.994231,0.870804,1.056967,1.127028,0.985962,1.101185,1.073660,1.186249,1.136480,1.001835,1.075544,0.967060,1.197696,1.084488,1.271364,1.126478,1.096687,1.108755,1.093931,1.125461,1.118113,1.098250,1.277533,1.254790,1.072989,1.132742,1.311266,1.171382,1.266030,1.044876,1.152691,1.177668,1.185408,1.148426,1.102902,1.184131,1.113066,1.181695,1.190761,1.088289,1.190058,1.001061,1.182179,1.125472
杨戴/在酒楼上__chunk001,1.067741,1.031322,1.082462,1.004109,0.999835,0.949435,0.933498,0.000000,1.013278,1.085083,0.997665,1.234947,0.971047,1.067822,0.985821,0.996596,0.977172,1.065110,1.094958,1.040434,0.890728,1.144761,1.004970,1.119301,1.376182,1.216367,1.185661,0.962882,1.193150,1.219782,1.122121,0.871290,0.963584,1.208853,1.185925,1.268767,1.313490,1.233558,0.900001,1.023936,0.993727,1.101642,0.933709,1.042598,0.954863,1.212763,1.084548,1.114187,1.170951,1.285755,1.038179,1.041271,1.192357,1.133134,1.216887,1.087718,1.063438,1.049025,0.980469,1.028479,1.005045,1.087902,1.111691,1.093659,0.997255,1.015281,1.176679,1.213066,1.242764,1.083781,1.121735,1.094979,0.995029,1.151471,0.982525,0.957506,1.268163,1.094791,1.069788,1.072807,1.133197,1.050102,0.999431,0.984127,1.089478,1.065485,1.075926,1.177756,1.120844,1.049373,1.015438,1.020171,1.075710,0.853699,0.990469,1.260983,1.246605,0.989840,1.189276,1.086508,1.155672,1.111627,1.173874,1.131108,1.102443,1.153835,1.102020,0.980994,1.112410,1.237588,1.162197,1.390643,0.954859,1.314087,1.206564,0.957651,1.153750,1.200979,1.227015,1.324370,0.904926,1.129990,1.053581,1.145130,1.055557,1.087275,1.122562,1.216418,1.228215,1.310103,1.348622,1.215698,1.284094,1.204136,1.214815,1.160016,1.264144,1.155703,1.207634,1.275799,1.120208,1.093852,1.080787,1.102665,1.050018,1.030015,1.165026,1.141757,1.082169,1.107247,1.315018,1.142847,1.276363,1.119494,1.049172,1.109993,1.057909,1.061952,1.071529,1.161680,1.020753,1.115073,1.012802,1.187817,1.173229,0.982350,1.205334,1.117710
杨戴/在酒楼上__chunk002,1.061818,0.824456,0.823355,0.898910,0.964295,0.800497,0.895222,1.013278,0.000000,0.721736,0.846880,0.956822,0.961552,0.970961,0.876684,0.935518,0.959159,0.869116,0.890472,0.825743,0.788580,1.066650,0.899205,1.043949,1.171163,1.100448,1.045946,0.796308,0.916952,1.065938,0.900283,0.927455,0.959792,1.118715,0.985826,1.051442,1.020112,1.166772,0.821452,0.878276,1.013032,0.954215,0.877082,1.003193,0.922909,0.949247,0.854071,1.151709,1.001763,1.105526,0.840938,0.877103,0.889825,0.966182,0.918022,0.934785,1.032687,0.966799,0.928399,0.943317,0.947373,1.014817,0.989753,1.021112,1.132165,1.118290,1.099232,1.089506,1.152489,1.053973,1.018823,1.080700,0.926832,1.027886,1.018376,0.982729,1.133417,0.937371,0.871730,1.042276,1.020235,1.101176,0.990869,0.900067,0.975932,0.923747,0.950174,0.866956,0.878693,0.946098,0.801549,0.885244,0.979768,1.026065,0.652826,0.974261,1.003406,0.897050,0.867500,0.973389,1.009626,0.949235,1.022583,0.982962,0.868982,1.014017,0.889792,0.918120,1.024118,1.095127,0.998215,1.331393,0.775437,1.068923,0.998544,0.899402,1.047271,0.891624,1.079182,0.974106,0.981999,0.997494,1.037077,1.058408,0.967935,0.896087,1.034994,1.002311,1.019790,1.098185,1.207399,1.065498,1.045770,1.001340,0.955704,0.922111,1.124581,1.072080,1.186939,1.087888,1.074876,0.998450,0.903030,1.006473,0.974129,1.011650,1.213057,1.161467,1.063558,1.038025,1.256163,1.086917,1.114475,1.068177,1.168776,1.073309,1.032972,0.955961,1.049758,0.985207,1.050404,1.054521,1.038856,1.058901,1.117575,1.011018,0.945214,0.982236
杨戴/在酒楼上__chunk003,1.083878,0.958725,0.924611,0.866817,0.954687,0.853126,0.923886,1.085083,0.721736,0.000000,0.841654,1.035231,1.104079,0.995621,1.098826,1.138751,1.097662,1.013452,0.911592,0.915494,0.828147,0.991051,0.960797,1.141430,1.331841,1.304504,1.167693,0.898315,1.015261,0.999757,1.003463,0.990559,1.076173,1.239299,1.066698,1.071581,1.012065,1.126251,1.011457,0.999213,1.239195,1.187181,0.988339,0.947918,0.970411,0.984347,0.944002,1.049668,0.945421,1.217614,0.907718,0.953939,0.957457,1.033479,1.113809,0.985892,1.263255,1.173449,1.079244,1.023585,1.159075,1.274672,1.205820,1.101578,1.366133,1.283404,1.100097,1.164388,1.227803,1.142598,1.121809,1.155769,1.101307,1.143217,1.102657,1.139229,1.131389,1.124220,0.974482,1.181274,1.082948,1.233422,0.962672,0.998178,1.095268,1.048249,1.096318,1.052209,0.981945,1.047352,0.930621,1.010533,1.050373,1.128040,0.890312,0.927183,1.061445,1.051939,0.982964,1.241584,1.223652,1.157231,1.244397,1.076812,1.025604,1.037604,1.018316,1.173532,1.257408,1.371846,1.257952,1.454088,0.945194,1.183261,1.125383,1.079978,1.153385,1.120456,1.207695,1.053658,1.125606,1.204051,1.319245,1.331831,1.057154,0.936530,1.256366,1.148998,1.201986,1.187079,1.285880,1.220443,1.218815,1.108910,1.126748,1.073883,1.291068,1.238426,1.497556,1.237217,1.310712,1.141243,1.149320,1.239083,1.148336,1.211785,1.487024,1.302835,1.122533,1.202240,1.484915,1.159780,1.296532,1.157029,1.367270,1.230033,1.234411,1.159058,1.180708,1.238110,1.120355,1.240919,1.246493,1.133058,1.314471,1.151542,1.110059,1.230747
