,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/伤逝__chunk003,杨戴/伤逝__chunk004,杨戴/在酒楼上__chunk001,杨戴/在酒楼上__chunk002,杨戴/奔月__chunk001,杨戴/奔月__chunk002,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/孤独者__chunk003,杨戴/孤独者__chunk004,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/故乡__chunk002,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/狂人日记__chunk002,杨戴/社戏__chunk001,杨戴/社戏__chunk002,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/祝福__chunk003,杨戴/祝福__chunk004,杨戴/离婚__chunk001,杨戴/离婚__chunk002,杨戴/肥皂__chunk001,杨戴/肥皂__chunk002,杨戴/药__chunk001,杨戴/药__chunk002,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/铸剑__chunk003,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/阿Q正传__chunk005,杨戴/阿Q正传__chunk006,杨戴/阿Q正传__chunk007,杨戴/阿Q正传__chunk008,杨戴/阿Q正传__chunk009,杨戴/风波__chunk001,杨戴/风波__chunk002,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/伤逝__chunk003,蓝/在酒楼上__chunk001,蓝/在酒楼上__chunk002,蓝/奔月__chunk001,蓝/奔月__chunk002,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/孤独者__chunk003,蓝/孤独者__chunk004,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/故乡__chunk002,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/狂人日记__chunk002,蓝/社戏__chunk001,蓝/社戏__chunk002,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/祝福__chunk003,蓝/离婚__chunk001,蓝/离婚__chunk002,蓝/肥皂__chunk001,蓝/肥皂__chunk002,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/铸剑__chunk003,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/阿Q正传__chunk005,蓝/阿Q正传__chunk006,蓝/阿Q正传__chunk007,蓝/阿Q正传__chunk008,蓝/风波__chunk001
杨戴/伤逝__chunk001,0.000000,0.906682,0.884961,1.009616,0.920438,0.977554,1.037476,1.160055,0.978182,1.015642,1.137504,1.041679,1.338641,1.010991,1.277751,0.972854,1.170359,1.415086,0.983696,0.980902,0.943324,1.080464,1.135564,1.042054,1.042076,1.001352,1.037427,0.988322,1.132189,1.140792,1.127471,1.175641,1.195433,1.271324,1.054002,1.106904,1.190076,1.088279,1.170417,1.203544,1.179801,1.329327,1.117276,1.257306,0.854004,0.992666,1.031026,1.004832,1.094133,1.124861,1.241278,1.156465,1.080526,1.215229,1.149683,1.295440,1.058903,1.128582,1.153242,1.206730,1.216424,1.054551,1.241428,1.021595,1.108491,1.247114,1.237286,1.278723,1.198743,1.275642,1.338540,1.271521,1.226871,1.348283,1.128381,1.230620,1.201943,1.308779,1.128546,1.143138,1.216913,1.229084,1.161357
杨戴/伤逝__chunk002,0.906682,0.000000,0.932786,1.003760,0.959182,0.803400,1.089907,1.240203,1.062881,0.940287,1.058420,1.049843,1.378325,0.882311,1.073181,1.046902,1.347412,1.342853,0.901826,1.083980,0.916861,1.002847,1.118224,1.089374,1.103395,1.114059,1.046623,1.019467,1.193300,1.250970,1.134849,1.281508,1.308172,1.239277,1.182037,1.112403,1.220947,1.036758,1.180324,1.050650,1.183781,1.300120,1.122837,1.177334,0.993956,0.859380,1.000824,1.027397,1.086000,1.174939,1.261074,1.156156,1.077340,1.044612,1.156533,1.277678,1.069785,1.062322,1.117573,1.250759,1.279147,1.085365,1.203839,1.001435,1.195243,1.237234,1.334891,1.287403,1.173496,1.287275,1.403021,1.261879,1.285015,1.402097,1.186381,1.249372,1.215538,1.326015,1.113612,1.132792,1.120812,1.178517,1.207293
杨戴/伤逝__chunk003,0.884961,0.932786,0.000000,0.863064,0.909133,0.946914,0.983737,1.097841,1.049046,1.041743,1.008075,1.015086,1.426357,0.954533,1.135940,1.032599,1.199661,1.400612,0.805035,1.093787,0.966395,1.007969,1.145465,1.144220,1.091268,1.063645,1.042926,1.052702,1.252204,1.216531,1.176313,1.190012,1.234145,1.255162,1.235322,1.199401,1.157253,1.102000,1.150859,1.210214,1.187595,1.335954,1.059545,1.260396,0.955726,0.881547,0.900047,1.097276,1.080699,1.039694,1.233891,1.190048,1.070910,0.969709,1.157895,1.260662,1.167360,1.151889,1.143569,1.204813,1.277834,0.936725,1.272829,0.970196,1.151092,1.329888,1.254730,1.305334,1.082673,1.237750,1.417914,1.287054,1.210876,1.362599,1.218097,1.292043,1.265352,1.301536,1.111168,1.119503,1.160203,1.200435,1.094582
杨戴/伤逝__chunk004,1.009616,1.003760,0.863064,0.000000,0.980810,0.951542,0.978103,1.207750,1.129899,1.064881,1.082843,0.985477,1.421810,1.018197,1.130151,0.995429,1.188799,1.372363,0.977096,1.170328,0.869831,1.039907,1.116336,1.177526,1.111984,1.227446,1.027898,1.131917,1.306646,1.171712,1.200270,1.302187,1.298848,1.256854,1.440757,1.185333,1.277560,1.208332,1.268027,1.301200,1.292280,1.404448,1.140315,1.190780,1.032406,0.847430,0.861749,1.132028,1.106865,1.023481,1.254528,1.238126,1.122781,1.046940,1.179127,1.361190,1.096643,1.237805,1.176553,1.190948,1.242844,1.198169,1.331518,1.066589,1.304256,1.260950,1.328111,1.261786,1.188303,1.321201,1.424386,1.328610,1.313804,1.384891,1.231898,1.364294,1.303144,1.361897,1.340737,1.300677,1.311747,1.309828,1.245777
杨戴/在酒楼上__chunk001,0.920438,0.959182,0.909133,0.980810,0.000000,0.792127,0.937998,0.890033,0.954235,0.912176,0.886716,0.917755,1.316588,0.939344,1.039105,0.832497,1.194112,1.225279,0.842524,1.052086,0.903568,0.938164,1.012292,1.108770,1.015366,1.070868,1.021279,1.024808,1.028844,1.116066,1.015972,1.097468,1.039007,1.210174,1.151656,1.070703,0.970790,0.896106,1.113239,1.012688,1.012015,1.025047,1.014864,1.148591,1.001577,1.005517,0.907971,0.815537,1.147152,0.950849,1.038570,1.109045,1.008364,1.108904,0.965992,1.214953,1.074374,1.152260,1.031908,1.170747,1.253198,1.003341,1.173212,1.010706,1.153815,1.218502,1.193586,1.228116,1.098972,1.207174,1.249392,1.115816,1.072454,1.173644,1.059779,1.267398,1.120385,1.062776,0.955943,1.027280,1.071089,1.075053,1.078471
杨戴/在酒楼上__chunk002,0.977554,0.803400,0.946914,0.951542,0.792127,0.000000,1.049383,1.180053,1.099651,0.883631,0.916666,1.038190,1.422881,0.991482,0.955932,1.007865,1.130239,1.178326,0.976047,1.198923,0.899100,0.899594,0.949412,0.991970,1.101418,1.112925,0.951785,1.068463,1.185459,1.190529,1.145807,1.276774,1.334031,1.171653,1.157566,1.148410,1.155711,1.033505,1.077594,1.059514,1.136081,1.192994,1.086000,1.201808,1.065331,0.968412,0.953271,1.037707,0.966962,1.089700,1.244375,1.235657,1.089587,1.052914,1.204772,1.429363,1.089090,1.125315,1.134555,1.190918,1.206268,1.227679,1.302176,0.980915,1.193473,1.164204,1.260893,1.234563,1.107178,1.339026,1.427625,1.222368,1.265722,1.431973,1.164988,1.296031,1.259462,1.308599,1.196763,1.193693,1.138904,1.239397,1.165888
杨戴/奔月__chunk001,1.037476,1.089907,0.983737,0.978103,0.937998,1.049383,0.000000,0.757674,0.868816,0.871032,1.062418,0.920424,1.135533,0.954898,0.988332,0.912907,1.116252,1.268778,0.931821,1.026491,0.979735,1.011314,1.116634,1.094731,0.831837,0.937630,0.747155,0.739891,0.911515,1.065040,0.804702,0.891500,0.899763,1.126224,1.170836,0.953192,0.950937,0.990023,1.085828,0.963670,0.952662,1.261075,0.797149,0.903558,0.941632,0.970236,1.023989,0.866356,1.038626,0.620185,0.840311,0.902192,0.905129,0.997222,0.880834,0.997573,0.828367,0.907497,0.930783,1.138303,1.099376,0.966497,1.021259,0.953937,0.985030,1.131555,0.921253,0.944665,0.894927,0.893235,1.048149,0.850128,0.924924,1.045136,1.013660,1.043716,0.968018,0.949139,1.016475,0.956036,0.897548,0.934693,0.843577
杨戴/奔月__chunk002,1.160055,1.240203,1.097841,1.207750,0.890033,1.180053,0.757674,0.000000,0.926414,1.042746,1.157775,0.927738,1.262791,1.088319,0.987764,1.017467,1.273669,1.354502,0.981009,1.045155,1.062580,1.104432,1.112961,1.132789,1.003284,0.995772,0.908109,0.925901,0.907420,1.053220,0.772527,0.914620,1.009670,1.257823,1.092568,1.074521,0.953812,1.001804,1.105276,0.981703,0.875650,1.134700,0.964053,0.964935,1.060769,1.160842,1.173358,1.002868,1.149269,0.831688,0.651517,0.973939,1.032488,1.089771,0.917580,1.092203,0.957517,0.997169,1.008685,1.324894,1.194321,1.056393,1.100680,1.036817,1.090480,1.130900,1.008664,1.067567,0.968915,1.070150,1.041416,0.883210,0.908326,1.079373,1.133297,1.103655,1.033234,1.034158,0.952412,1.018691,0.922214,0.840210,0.975761
杨戴/孤独者__chunk001,0.978182,1.062881,1.049046,1.129899,0.954235,1.099651,0.868816,0.926414,0.000000,0.906510,0.976671,0.815198,1.258506,0.957419,1.084636,0.943407,1.032066,1.285324,0.838506,0.971870,0.838813,0.920281,1.043600,1.169463,0.888725,0.923053,0.980798,0.982786,0.984095,1.077797,0.971486,0.855543,0.910963,0.990608,0.971309,0.913659,0.911797,0.911745,0.859451,0.887675,0.980802,1.144044,0.958383,1.039179,1.069881,1.107388,1.036721,0.974882,1.158959,0.964570,1.032322,0.727249,0.969579,1.051108,0.838877,1.091907,1.005703,0.988729,0.995057,1.143107,1.038528,0.922862,1.052622,0.945794,1.009598,1.240279,1.014786,1.155470,1.065466,1.154981,1.090355,1.022565,0.920708,1.019340,0.967919,1.013436,0.896237,1.013433,0.911542,0.851137,0.902114,1.039814,0.995311
杨戴/孤独者__chunk002,1.015642,0.940287,1.041743,1.064881,0.912176,0.883631,0.871032,1.042746,0.906510,0.000000,0.941633,0.964502,1.334185,0.825276,0.982684,1.093107,0.966555,1.143276,0.943321,1.088062,0.916321,0.933463,1.057515,1.043650,0.919581,0.963842,0.956454,0.955009,1.103446,1.074557,0.971487,1.039957,1.140558,1.176007,1.195625,1.036427,1.107227,0.949692,1.123308,0.984399,0.986666,1.287091,1.011288,1.084641,1.131695,1.067476,1.013558,0.995734,1.085168,1.017186,1.065816,0.992317,0.824736,1.000239,1.088231,1.211171,0.927759,1.077438,1.093776,1.106983,1.087538,1.102152,1.231569,0.942512,1.070961,1.173394,1.059918,1.134978,1.046875,1.102066,1.320763,1.063386,1.131384,1.309488,1.094912,1.255342,1.127432,1.232550,1.052499,1.088473,1.095045,1.117939,1.116617
