work,group_a,group_b,cross_translator_dist,same_translator_dist,winner
伤逝,杨戴,蓝,0.934230,1.088957,original
在酒楼上,杨戴,蓝,0.991839,1.034935,original
奔月,杨戴,蓝,0.735926,0.980808,original
孤独者,杨戴,蓝,0.956161,1.008481,original
幸福的家庭,杨戴,蓝,0.780271,1.202159,original
故乡,杨戴,蓝,0.978695,1.038043,original
明天,杨戴,蓝,0.788891,0.990474,original
狂人日记,杨戴,蓝,1.001131,1.209993,original
社戏,杨戴,蓝,0.929119,1.041165,original
祝福,杨戴,蓝,1.072686,1.069718,translator
离婚,杨戴,蓝,0.924121,1.051532,original
肥皂,杨戴,蓝,0.796773,1.019227,original
药,杨戴,蓝,0.994144,1.087845,original
铸剑,杨戴,蓝,0.803773,1.062157,original
阿Q正传,杨戴,蓝,0.951864,1.078538,original
风波,杨戴,蓝,0.765920,0.991341,original
