,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,杨戴/奔月__chunk001,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/社戏__chunk001,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/离婚__chunk001,杨戴/肥皂__chunk001,杨戴/药__chunk001,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/风波__chunk001,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/在酒楼上__chunk001,蓝/奔月__chunk001,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/社戏__chunk001,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/离婚__chunk001,蓝/肥皂__chunk001,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/风波__chunk001
杨戴/伤逝__chunk001,0.000000,0.905020,0.839898,1.129160,0.949610,1.038938,1.398118,1.029310,0.978925,1.317960,0.881574,0.988344,1.119827,1.078701,1.016850,1.187506,1.179190,1.253218,1.217582,1.200351,1.158784,1.145462,1.251975,0.905196,1.126759,0.970659,1.236820,1.149862,1.119075,1.409735,1.063952,1.233093,1.190635,1.176012,1.083472,1.243980,1.342265,1.283985,1.370856,1.322548,1.424063,1.235464,1.331945,1.184561,1.246720,1.351315
杨戴/伤逝__chunk002,0.905020,0.000000,0.903918,1.075867,1.081268,0.966480,1.454609,1.061439,1.049572,1.368836,0.952292,0.955969,1.154860,1.130515,1.073870,1.274190,1.161206,1.360852,1.366194,1.201450,1.176607,1.271037,1.150911,0.973502,0.870872,1.042140,1.176273,1.197402,1.067218,1.453417,1.180430,1.285495,1.246147,1.195443,1.145827,1.388049,1.340031,1.297335,1.520453,1.316645,1.498156,1.337455,1.348907,1.238588,1.269865,1.304259
杨戴/在酒楼上__chunk001,0.839898,0.903918,0.000000,1.013169,0.894154,0.822894,1.381800,0.993685,0.925111,1.226819,1.002275,0.893081,0.928720,1.056376,1.012151,1.135211,1.132472,1.235868,1.264599,1.096009,1.021251,1.033911,1.140223,1.023615,0.991107,0.895607,1.090291,1.186968,1.031145,1.457540,1.157028,1.171931,1.238828,1.243219,1.104543,1.228995,1.284811,1.229068,1.442652,1.195606,1.385880,1.228525,1.220179,1.125817,1.189646,1.246912
杨戴/奔月__chunk001,1.129160,1.075867,1.013169,0.000000,0.855412,0.961592,1.164653,0.980024,1.013714,1.352849,0.892263,1.071577,1.095151,0.917412,0.743753,0.903169,0.800993,0.994893,1.184183,0.938100,1.027397,0.928866,0.900959,1.076699,1.195521,0.939790,0.603936,0.918076,0.937755,1.110555,0.863155,1.005140,1.168097,1.076314,1.010369,1.166744,0.998182,0.900042,1.076549,0.850185,1.164428,1.022284,1.017019,0.962754,0.884004,0.923285
杨戴/孤独者__chunk001,0.949610,1.081268,0.894154,0.855412,0.000000,0.828123,1.260502,0.851954,1.121815,1.104005,0.870873,0.849064,1.018903,0.898219,0.916396,0.966004,0.913240,1.079889,1.085684,0.936016,0.886593,0.919885,1.003446,1.088924,1.130971,0.973140,1.020749,0.751248,0.868469,1.266428,0.952771,1.197531,1.065433,1.076037,0.912365,1.153891,1.095916,1.141434,1.304775,1.042350,1.196244,1.070682,1.048096,0.913668,1.015011,1.138765
杨戴/孤独者__chunk002,1.038938,0.966480,0.822894,0.961592,0.828123,0.000000,1.198081,0.925576,1.117577,1.078719,0.844199,0.850131,1.105639,1.010558,0.972469,1.078817,1.069138,1.146358,1.042582,1.020515,0.928727,0.969306,1.109196,1.067397,1.069756,0.973117,1.052903,0.948703,0.791196,1.341200,0.996698,1.215632,1.008796,1.168452,1.002912,1.202259,1.154967,1.160957,1.393830,1.031639,1.321651,1.091943,1.188699,1.056153,1.041068,1.210261
杨戴/幸福的家庭__chunk001,1.398118,1.454609,1.381800,1.164653,1.260502,1.198081,0.000000,1.361268,1.355931,1.424426,1.274929,1.338753,1.455030,1.200405,1.058877,1.184627,1.179612,1.252139,1.262230,1.241881,1.356992,1.358137,1.222901,1.479984,1.478543,1.361342,1.236404,1.232185,1.265938,0.820902,1.388834,1.260590,1.281773,1.392947,1.233849,1.415826,1.190918,1.187407,1.319900,1.150481,1.339081,1.255045,1.355870,1.221883,1.285947,1.200389
杨戴/故乡__chunk001,1.029310,1.061439,0.993685,0.980024,0.851954,0.925576,1.361268,0.000000,1.125446,1.123658,0.934658,0.849444,1.118894,0.989147,1.070392,1.114267,1.098393,1.319970,1.310396,1.060411,1.000188,1.000977,1.022482,1.225654,1.173748,1.108112,1.122298,1.036778,1.043345,1.470966,0.913379,1.346122,1.172373,1.238059,1.103063,1.332056,1.272866,1.175231,1.462943,1.196505,1.470979,1.320149,1.265891,1.091545,1.135258,1.266226
杨戴/明天__chunk001,0.978925,1.049572,0.925111,1.013714,1.121815,1.117577,1.355931,1.125446,0.000000,1.591691,1.071196,1.074145,1.103925,1.126166,1.086968,1.032660,1.050086,1.075710,1.427944,1.146651,1.084836,1.069026,1.006034,1.250973,1.213208,1.115984,1.063353,1.195698,1.149190,1.258079,1.144582,0.908398,1.347455,1.291286,1.127151,1.257479,1.246624,1.249940,1.249571,1.119559,1.267515,1.265526,1.190061,1.086737,1.122361,1.120018
杨戴/狂人日记__chunk001,1.317960,1.368836,1.226819,1.352849,1.104005,1.078719,1.424426,1.123658,1.591691,0.000000,1.333095,1.083705,1.331595,1.237649,1.263842,1.317262,1.394120,1.413527,1.302802,1.439422,1.263733,1.413202,1.455156,1.432166,1.369132,1.359579,1.503838,1.322760,1.354916,1.621645,1.345738,1.703052,0.860586,1.539264,1.428534,1.572647,1.445810,1.497634,1.691837,1.485472,1.633663,1.434813,1.679532,1.344257,1.506217,1.520066
杨戴/社戏__chunk001,0.881574,0.952292,1.002275,0.892263,0.870873,0.844199,1.274929,0.934658,1.071196,1.333095,0.000000,0.908627,1.118213,1.115264,1.085093,1.026579,0.942691,1.007788,1.180285,1.050243,0.901902,0.969343,1.032788,0.987067,1.115541,0.944381,1.043482,0.999725,0.964358,1.311082,0.944968,1.155912,1.212831,0.776611,0.903987,1.228769,1.219749,1.140318,1.269667,1.063008,1.201187,1.241015,1.158123,0.968712,0.988684,1.121573
杨戴/祝福__chunk001,0.988344,0.955969,0.893081,1.071577,0.849064,0.850131,1.338753,0.849444,1.074145,1.083705,0.908627,0.000000,0.875934,0.939870,1.094934,1.096865,1.170116,1.249062,1.080647,0.931911,0.849296,0.987515,0.996070,1.050945,0.997869,1.080631,1.120156,1.001646,0.974971,1.423248,1.054959,1.181647,1.146442,1.145805,0.836880,1.193264,1.239499,1.266641,1.394388,1.288954,1.332414,1.128135,1.209449,1.047229,1.153709,1.203276
