variant,scale,within,between,d,competition_wins,knn_acc,knn_baseline
default,1k,0.170182,0.181941,0.270631,16,0.535714,0.511905
uniform,1k,0.160141,0.174181,0.383540,16,0.625000,0.511905
lodo_word_length_dist,1k,0.187609,0.200471,0.268007,16,0.535714,0.511905
lodo_function_word_freq,1k,0.176882,0.188097,0.266847,16,0.553571,0.511905
lodo_char_ngrams,1k,0.167196,0.179012,0.263656,16,0.553571,0.511905
lodo_word_bigrams,1k,0.109553,0.121440,0.362834,16,0.666667,0.511905
lodo_sentence_stats,1k,0.167926,0.180918,0.282509,16,0.625000,0.511905
lodo_punct_dist,1k,0.194894,0.208094,0.261441,16,0.535714,0.511905
lodo_ttr,1k,0.182628,0.192808,0.216454,16,0.529762,0.511905
lodo_hapax_ratio,1k,0.174202,0.184184,0.222452,16,0.500000,0.511905
single_word_length_dist,1k,0.013338,0.015168,0.195134,14,0.630952,0.511905
single_function_word_freq,1k,0.154548,0.167576,0.181219,16,0.589286,0.511905
single_char_ngrams,1k,0.226905,0.237585,0.214421,15,0.452381,0.511905
single_word_bigrams,1k,0.513747,0.524780,0.073262,16,0.476190,0.511905
single_sentence_stats,1k,0.190479,0.191146,0.006303,14,0.416667,0.511905
single_punct_dist,1k,0.030145,0.033740,0.126795,10,0.672619,0.511905
single_ttr,1k,0.058162,0.084136,0.503345,4,0.726190,0.511905
single_hapax_ratio,1k,0.093803,0.139316,0.562935,3,0.636905,0.511905
random_20260818,1k,0.161401,0.173767,0.296638,16,0.535714,0.511905
random_20260819,1k,0.159585,0.170240,0.258728,16,0.523810,0.511905
random_20260820,1k,0.184349,0.195747,0.244334,16,0.535714,0.511905
random_20260821,1k,0.161022,0.171340,0.270693,16,0.541667,0.511905
random_20260822,1k,0.150125,0.162298,0.328135,16,0.589286,0.511905
random_20260823,1k,0.156113,0.169195,0.311252,16,0.601190,0.511905
random_20260824,1k,0.175976,0.188215,0.266714,16,0.535714,0.511905
random_20260825,1k,0.184654,0.196456,0.237070,16,0.511905,0.511905
random_20260826,1k,0.190436,0.201663,0.225803,16,0.500000,0.511905
random_20260827,1k,0.170005,0.181849,0.285998,16,0.565476,0.511905
random_20260828,1k,0.156440,0.167464,0.280189,16,0.559524,0.511905
random_20260829,1k,0.171014,0.182396,0.267017,16,0.583333,0.511905
random_20260830,1k,0.185296,0.197524,0.263789,16,0.577381,0.511905
random_20260831,1k,0.167672,0.180906,0.314763,16,0.601190,0.511905
random_20260832,1k,0.206525,0.217998,0.218361,16,0.571429,0.511905
random_20260833,1k,0.165041,0.177215,0.282697,16,0.529762,0.511905
random_20260834,1k,0.196431,0.209413,0.272160,16,0.541667,0.511905
random_20260835,1k,0.182885,0.194082,0.251384,16,0.547619,0.511905
random_20260836,1k,0.176608,0.189474,0.286055,16,0.553571,0.511905
random_20260837,1k,0.170406,0.183723,0.316293,16,0.577381,0.511905
default,2k,0.141333,0.152875,0.271823,16,0.710843,0.530120
uniform,2k,0.134979,0.149640,0.392955,15,0.686747,0.530120
lodo_word_length_dist,2k,0.156032,0.168627,0.268145,16,0.698795,0.530120
lodo_function_word_freq,2k,0.150520,0.161962,0.261461,15,0.674699,0.530120
lodo_char_ngrams,2k,0.140733,0.152321,0.263262,16,0.686747,0.530120
lodo_word_bigrams,2k,0.092447,0.104459,0.395320,16,0.771084,0.530120
lodo_sentence_stats,2k,0.136846,0.149640,0.288606,16,0.674699,0.530120
lodo_punct_dist,2k,0.161925,0.174967,0.263200,16,0.662651,0.530120
lodo_ttr,2k,0.149190,0.158852,0.212315,16,0.602410,0.530120
lodo_hapax_ratio,2k,0.143358,0.152765,0.216099,16,0.614458,0.530120
